fullname,fullcode,latitude,longitude,area_code
"Albany, OR",LAUMT411054000000003,44.6365071,-123.1059323,"Albany, OR Metropolitan Statistical Area"
"Albany, NY",LAUMT361058000000003,42.6511674,-73.7549679,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area"
"Albuquerque, NM",LAUMT351074000000003,35.0841034,-106.650985,"Albuquerque, NM Metropolitan Statistical Area"
"Alexandria, LA",LAUMT221078000000003,31.199004,-92.445137,"Alexandria, LA Metropolitan Statistical Area"
"Allentown, PA",LAUMT421090000000003,40.6022059,-75.4712793,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area"
"Altoona, PA",LAUMT421102000000003,40.518681,-78.3947359,"Altoona, PA Metropolitan Statistical Area"
"Amarillo, TX",LAUMT481110000000003,35.2072185,-101.8338245,"Amarillo, TX Metropolitan Statistical Area"
"Ames, IA",LAUMT191118000000003,42.0267703,-93.6170553,"Ames, IA Metropolitan Statistical Area"
"Anchorage, AK",LAUMT021126000000003,61.2163129,-149.8948522,"Anchorage, AK Metropolitan Statistical Area"
"Anderson, IN",LAUMT182690000000003,40.1053196,-85.680254,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area"
"Anderson, SC",LAUMT452486000000003,34.5068601,-82.6506263,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area"
"Ann Arbor, MI",LAUMT261146000000003,42.2681569,-83.731229,"Ann Arbor, MI Metropolitan Statistical Area"
"Anniston, AL",LAUMT011150000000003,33.695381,-85.83984218,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area"
"Appleton, WI",LAUMT551154000000003,44.2611337,-88.4067603,"Appleton, WI Metropolitan Statistical Area"
"Asheville, NC",LAUMT371170000000003,35.6009498,-82.554016,"Asheville, NC Metropolitan Statistical Area"
"Athens, GA",LAUMT131202000000003,33.9550905,-83.3881867,"Athens-Clarke County, GA Metropolitan Statistical Area"
"Atlanta, GA",LAUMT131206000000003,33.7490987,-84.3901848,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
"Atlantic City, NJ",LAUMT341210000000003,39.3642852,-74.422935,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area"
"Auburn, AL",LAUMT011222000000003,32.6550905,-85.50364336,"Auburn-Opelika, AL Metropolitan Statistical Area"
"Augusta, GA",LAUMT131226000000003,33.4709714,-81.9748428,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area"
"Austin, TX",LAUMT481242000000003,30.2711286,-97.7436994,"Austin-Round Rock, TX Metropolitan Statistical Area"
"Bakersfield, CA",LAUMT061254000000003,35.3738712,-119.0194638,"Bakersfield, CA Metropolitan Statistical Area"
"Baltimore, MD",LAUMT241258000000003,39.2908816,-76.6107589,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area"
"Baton Rouge, LA",LAUMT221294000000003,30.4507462,-91.1545509,"Baton Rouge, LA Metropolitan Statistical Area"
"Battle Creek, MI",LAUMT261298000000003,42.3192548,-85.1824268,"Battle Creek, MI Metropolitan Statistical Area"
"Bay City, MI",LAUMT261302000000003,43.5945,-83.8889,"Bay City, MI Metropolitan Statistical Area"
"Beaumont, TX",LAUMT481314000000003,30.0860459,-94.101846,"Beaumont-Port Arthur, TX Metropolitan Statistical Area"
"Beckley, WV",LAUMT541322000000003,37.7781702,-81.1881556,"Beckley, WV Metropolitan Statistical Area"
"Bellingham, WA",LAUMT531338000000003,48.754402,-122.4788601,"Bellingham, WA Metropolitan Statistical Area"
"Bend, OR",LAUMT411346000000003,44.0581728,-121.3153095,"Bend-Redmond, OR Metropolitan Statistical Area"
"Billings, MT",LAUMT301374000000003,45.7874957,-108.4960699,"Billings, MT Metropolitan Statistical Area"
"Binghamton, NY",LAUMT361378000000003,42.096968,-75.9143409,"Binghamton, NY Metropolitan Statistical Area"
"Birmingham, AL",LAUMT011382000000003,33.5206824,-86.8024325,"Birmingham-Hoover, AL Metropolitan Statistical Area"
"Bismarck, ND",LAUMT381390000000003,46.8083268,-100.7837391,"Bismarck, ND Metropolitan Statistical Area"
"Blacksburg, VA",LAUMT511398000000003,37.2296566,-80.4136766,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area"
"Bloomington, IL",LAUMT171401000000003,40.4731073,-88.9941402,"Bloomington, IL Metropolitan Statistical Area"
"Bloomington, IN",LAUMT181402000000003,39.1670396,-86.534288,"Bloomington, IN Metropolitan Statistical Area"
"Bloomsburg, PA",LAUMT421410000000003,41.0041213,-76.4538159,"Bloomsburg-Berwick, PA Metropolitan Statistical Area"
"Boise City, ID",LAUMT161426000000003,43.5988375,-116.243255,"Boise City, ID Metropolitan Statistical Area"
"Boulder, CO",LAUMT081450000000003,40.0149856,-105.2705455,"Boulder, CO Metropolitan Statistical Area"
"Bowling Green, KY",LAUMT211454000000003,36.9903199,-86.4436017,"Bowling Green, KY Metropolitan Statistical Area"
"Bremerton, WA",LAUMT531474000000003,47.53279725,-122.754161,"Bremerton-Silverdale, WA Metropolitan Statistical Area"
"Bristol, VA",LAUMT472870000000003,36.5959685,-82.1885008,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area"
"Brownsville, TX",LAUMT481518000000003,25.9140256,-97.4890855,"Brownsville-Harlingen, TX Metropolitan Statistical Area"
"Brunswick, GA",LAUMT131526000000003,31.1499528,-81.4914893,"Brunswick, GA Metropolitan Statistical Area"
"Buffalo, NY",LAUMT361538000000003,42.8867166,-78.8783921,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area"
"Burlington, NC",LAUMT371550000000003,36.095692,-79.4377989,"Burlington, NC Metropolitan Statistical Area"
"California, MD",LAUMT241568000000003,38.3004029,-76.5074541,"California-Lexington Park, MD Metropolitan Statistical Area"
"Canton, OH",LAUMT391594000000003,40.7989522,-81.3784444,"Canton-Massillon, OH Metropolitan Statistical Area"
"Cape Coral, FL",LAUMT121598000000003,26.6058996,-81.9807339,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area"
"Cape Girardeau, MO",LAUMT291602000000003,37.3058839,-89.5181475,"Cape Girardeau, MO-IL Metropolitan Statistical Area"
"Carbondale, IL",LAUMT171606000000003,37.7274692,-89.2166549,"Carbondale-Marion, IL Metropolitan Statistical Area"
"Carson City, NV",LAUMT321618000000003,39.1637984,-119.7674033,"Carson City, NV Metropolitan Statistical Area"
"Casper, WY",LAUMT561622000000003,42.866632,-106.3130809,"Casper, WY Metropolitan Statistical Area"
"Cedar Rapids, IA",LAUMT191630000000003,41.9758872,-91.6704052,"Cedar Rapids, IA Metropolitan Statistical Area"
"Chambersburg, PA",LAUMT421654000000003,39.9405903,-77.6598623,"Chambersburg-Waynesboro, PA Metropolitan Statistical Area"
"Champaign, IL",LAUMT171658000000003,40.1164205,-88.2433828,"Champaign-Urbana, IL Metropolitan Statistical Area"
"Charleston, WV",LAUMT541662000000003,38.3505993,-81.633281,"Charleston, WV Metropolitan Statistical Area"
"Charleston, SC",LAUMT451670000000003,32.7876012,-79.9402727,"Charleston-North Charleston, SC Metropolitan Statistical Area"
"Charlotte, NC",LAUMT371674000000003,35.2270869,-80.8431267,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area"
"Charlottesville, VA",LAUMT511682000000003,38.029306,-78.476678,"Charlottesville, VA Metropolitan Statistical Area"
"Chattanooga, TN",LAUMT471686000000003,35.0456297,-85.30968,"Chattanooga, TN-GA Metropolitan Statistical Area"
"Cheyenne, WY",LAUMT561694000000003,41.1399814,-104.8202461,"Cheyenne, WY Metropolitan Statistical Area"
"Chicago, IL",LAUMT171698000000003,41.8755546,-87.6244211,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area"
"Chico, CA",LAUMT061702000000003,39.7284945,-121.8374776,"Chico, CA Metropolitan Statistical Area"
"Cincinnati, OH",LAUMT391714000000003,39.1014537,-84.5124601,"Cincinnati, OH-KY-IN Metropolitan Statistical Area"
"Clarksville, TN",LAUMT471730000000003,36.5277607,-87.3588702,"Clarksville, TN-KY Metropolitan Statistical Area"
"Cleveland, TN",LAUMT471742000000003,35.1595182,-84.8766114,"Cleveland, TN Metropolitan Statistical Area"
"Cleveland, OH",LAUMT391746000000003,41.5051613,-81.6934445,"Cleveland-Elyria, OH Metropolitan Statistical Area"
"Coeur d'Alene, ID",LAUMT161766000000003,47.6776832,-116.7804663,"Coeur d'Alene, ID Metropolitan Statistical Area"
"College Station, TX",LAUMT481778000000003,30.6253463,-96.3271537,"College Station-Bryan, TX Metropolitan Statistical Area"
"Colorado Springs, CO",LAUMT081782000000003,38.8339578,-104.8253484,"Colorado Springs, CO Metropolitan Statistical Area"
"Columbia, MO",LAUMT291786000000003,38.951883,-92.3337365,"Columbia, MO Metropolitan Statistical Area"
"Columbia, SC",LAUMT451790000000003,34.0007493,-81.0343312,"Columbia, SC Metropolitan Statistical Area"
"Columbus, GA",LAUMT131798000000003,32.4609764,-84.9877093,"Columbus, GA-AL Metropolitan Statistical Area"
"Columbus, IN",LAUMT181802000000003,39.2014405,-85.9213795,"Columbus, IN Metropolitan Statistical Area"
"Columbus, OH",LAUMT391814000000003,39.9622601,-83.0007064,"Columbus, OH Metropolitan Statistical Area"
"Corpus Christi, TX",LAUMT481858000000003,27.8002542,-97.3955743,"Corpus Christi, TX Metropolitan Statistical Area"
"Corvallis, OR",LAUMT411870000000003,44.5645659,-123.2620434,"Corvallis, OR Metropolitan Statistical Area"
"Crestview, FL",LAUMT121888000000003,30.7621326,-86.5705083,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area"
"Cumberland, MD",LAUMT241906000000003,39.6528509,-78.7624713,"Cumberland, MD-WV Metropolitan Statistical Area"
"Dallas, TX",LAUMT481910000000003,32.7762719,-96.7968558,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
"Dalton, GA",LAUMT131914000000003,34.723727,-84.86850912,"Dalton, GA Metropolitan Statistical Area"
"Danville, IL",LAUMT171918000000003,40.125222,-87.6304613,"Danville, IL Metropolitan Statistical Area"
"Daphne, AL",LAUMT011930000000003,30.5718508,-87.85558597,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area"
"Davenport, IA",LAUMT171934000000003,41.5236436,-90.5776367,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area"
"Dayton, OH",LAUMT391938000000003,39.7589478,-84.1916068,"Dayton, OH Metropolitan Statistical Area"
"Decatur, AL",LAUMT011946000000003,34.6240205,-87.05791863,"Decatur, AL Metropolitan Statistical Area"
"Decatur, IL",LAUMT171950000000003,39.8454163,-88.952415,"Decatur, IL Metropolitan Statistical Area"
"Deltona, FL",LAUMT121966000000003,28.9005446,-81.2636737,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area"
"Denver, CO",LAUMT081974000000003,39.7391536,-104.9847033,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
"Des Moines, IA",LAUMT191978000000003,41.5910641,-93.6037148,"Des Moines-West Des Moines, IA Metropolitan Statistical Area"
"Detroit, MI",LAUMT261982000000003,42.3486635,-83.0567374,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area"
"Dothan, AL",LAUMT012002000000003,31.2232313,-85.3904888,"Dothan, AL Metropolitan Statistical Area"
"Dover, DE",LAUMT102010000000003,39.158168,-75.5243679,"Dover, DE Metropolitan Statistical Area"
"Dubuque, IA",LAUMT192022000000003,42.5006217,-90.6647966,"Dubuque, IA Metropolitan Statistical Area"
"Duluth, MN",LAUMT272026000000003,46.7729322,-92.1251217,"Duluth, MN-WI Metropolitan Statistical Area"
"Durham, NC",LAUMT372050000000003,35.9940329,-78.8986189,"Durham-Chapel Hill, NC Metropolitan Statistical Area"
"East Stroudsburg, PA",LAUMT422070000000003,40.999539,-75.1812909,"East Stroudsburg, PA Metropolitan Statistical Area"
"Eau Claire, WI",LAUMT552074000000003,44.811349,-91.498494,"Eau Claire, WI Metropolitan Statistical Area"
"El Centro, CA",LAUMT062094000000003,32.792,-115.5630513,"El Centro, CA Metropolitan Statistical Area"
"Elizabethtown, KY",LAUMT212106000000003,37.693952,-85.8591284,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area"
"Elkhart, IN",LAUMT182114000000003,41.6819935,-85.976667,"Elkhart-Goshen, IN Metropolitan Statistical Area"
"Elmira, NY",LAUMT362130000000003,42.0897965,-76.8077337,"Elmira, NY Metropolitan Statistical Area"
"El Paso, TX",LAUMT482134000000003,31.7600372,-106.4872869,"El Paso, TX Metropolitan Statistical Area"
"Erie, PA",LAUMT422150000000003,42.1290657,-80.085242,"Erie, PA Metropolitan Statistical Area"
"Eugene, OR",LAUMT412166000000003,44.10118085,-123.1523837,"Eugene, OR Metropolitan Statistical Area"
"Evansville, IN",LAUMT182178000000003,37.9747645,-87.5558482,"Evansville, IN-KY Metropolitan Statistical Area"
"Fairbanks, AK",LAUMT022182000000003,64.837845,-147.7166749,"Fairbanks, AK Metropolitan Statistical Area"
"Fargo, ND",LAUMT382202000000003,46.8772292,-96.7898209,"Fargo, ND-MN Metropolitan Statistical Area"
"Farmington, NM",LAUMT352214000000003,36.7304288,-108.208919,"Farmington, NM Metropolitan Statistical Area"
"Fayetteville, NC",LAUMT372218000000003,35.0529931,-78.8787057,"Fayetteville, NC Metropolitan Statistical Area"
"Fayetteville, AR",LAUMT052222000000003,36.0625843,-94.1574327,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
"Flagstaff, AZ",LAUMT042238000000003,35.199458,-111.6514258,"Flagstaff, AZ Metropolitan Statistical Area"
"Flint, MI",LAUMT262242000000003,43.0171773,-83.7236023,"Flint, MI Metropolitan Statistical Area"
"Florence, AL",LAUMT012252000000003,34.79981,-87.6772509,"Florence-Muscle Shoals, AL Metropolitan Statistical Area"
"Florence, SC",LAUMT452250000000003,34.1984435,-79.7671657,"Florence, SC Metropolitan Statistical Area"
"Fond du Lac, WI",LAUMT552254000000003,43.7748763,-88.4458032,"Fond du Lac, WI Metropolitan Statistical Area"
"Fort Collins, CO",LAUMT082266000000003,40.5508527,-105.0668084,"Fort Collins, CO Metropolitan Statistical Area"
"Fort Smith, AR",LAUMT052290000000003,35.3872218,-94.4248982,"Fort Smith, AR-OK Metropolitan Statistical Area"
"Fort Walton Beach, FL",LAUMT121888000000003,30.4057552,-86.6188419,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area"
"Fort Wayne, IN",LAUMT182306000000003,41.0799898,-85.1386014,"Fort Wayne, IN Metropolitan Statistical Area"
"Fresno, CA",LAUMT062342000000003,36.7295295,-119.7088612,"Fresno, CA Metropolitan Statistical Area"
"Gadsden, AL",LAUMT012346000000003,34.0143796,-86.0066682,"Gadsden, AL Metropolitan Statistical Area"
"Gainesville, FL",LAUMT122354000000003,29.6519396,-82.324996,"Gainesville, FL Metropolitan Statistical Area"
"Gainesville, GA",LAUMT132358000000003,34.2978794,-83.8240662,"Gainesville, GA Metropolitan Statistical Area"
"Gettysburg, PA",LAUMT422390000000003,39.8309399,-77.2310907,"Gettysburg, PA Metropolitan Statistical Area"
"Glens Falls, NY",LAUMT362402000000003,43.309941,-73.6444469,"Glens Falls, NY Metropolitan Statistical Area"
"Goldsboro, NC",LAUMT372414000000003,35.3848841,-77.992765,"Goldsboro, NC Metropolitan Statistical Area"
"Grand Forks, ND",LAUMT382422000000003,47.9078244,-97.0592027,"Grand Forks, ND-MN Metropolitan Statistical Area"
"Grand Island, NE",LAUMT312426000000003,40.924271,-98.3386849,"Grand Island, NE Metropolitan Statistical Area"
"Grand Junction, CO",LAUMT082430000000003,39.063956,-108.5507316,"Grand Junction, CO Metropolitan Statistical Area"
"Grand Rapids, MI",LAUMT262434000000003,42.9632405,-85.6678638,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area"
"Grants Pass, OR",LAUMT412442000000003,42.4393707,-123.3272488,"Grants Pass, OR Metropolitan Statistical Area"
"Great Falls, MT",LAUMT302450000000003,47.5048851,-111.2918907,"Great Falls, MT Metropolitan Statistical Area"
"Greeley, CO",LAUMT082454000000003,40.4233142,-104.7091321,"Greeley, CO Metropolitan Statistical Area"
"Green Bay, WI",LAUMT552458000000003,44.5299412,-88.0248316,"Green Bay, WI Metropolitan Statistical Area"
"Greensboro, NC",LAUMT372466000000003,36.0726355,-79.7919753,"Greensboro-High Point, NC Metropolitan Statistical Area"
"Greenville, NC",LAUMT372478000000003,35.612661,-77.3663537,"Greenville, NC Metropolitan Statistical Area"
"Greenville, SC",LAUMT452486000000003,34.851354,-82.3984881,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area"
"Gulfport, MS",LAUMT282506000000003,30.3674198,-89.0928154,"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area"
"Hagerstown, MD",LAUMT242518000000003,39.6419219,-77.720264,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area"
"Hammond, LA",LAUMT222522000000003,41.5833658,-87.5000429,"Hammond, LA Metropolitan Statistical Area"
"Hanford, CA",LAUMT062526000000003,36.3274502,-119.6456843,"Hanford-Corcoran, CA Metropolitan Statistical Area"
"Harrisburg, PA",LAUMT422542000000003,40.2663107,-76.8861121,"Harrisburg-Carlisle, PA Metropolitan Statistical Area"
"Harrisonburg, VA",LAUMT512550000000003,38.4493315,-78.8688832,"Harrisonburg, VA Metropolitan Statistical Area"
"Hattiesburg, MS",LAUMT282562000000003,31.3271189,-89.2903391,"Hattiesburg, MS Metropolitan Statistical Area"
"Hickory, NC",LAUMT372586000000003,35.7331895,-81.3412005,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area"
"Hilton Head Island, SC",LAUMT452594000000003,32.216316,-80.7526079,"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area"
"Hinesville, GA",LAUMT132598000000003,31.8477298,-81.5960353,"Hinesville, GA Metropolitan Statistical Area"
"Homosassa Springs, FL",LAUMT122614000000003,28.8035939,-82.5759328,"Homosassa Springs, FL Metropolitan Statistical Area"
"Hot Springs, AR",LAUMT052630000000003,34.4480645,-93.04685014,"Hot Springs, AR Metropolitan Statistical Area"
"Houma, LA",LAUMT222638000000003,29.5957696,-90.7195347,"Houma-Thibodaux, LA Metropolitan Statistical Area"
"Houston, TX",LAUMT482642000000003,29.7589382,-95.3676973,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area"
"Huntington, WV",LAUMT542658000000003,38.4192496,-82.4451539,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area"
"Huntsville, AL",LAUMT012662000000003,34.729847,-86.585901,"Huntsville, AL Metropolitan Statistical Area"
"Idaho Falls, ID",LAUMT162682000000003,43.4935245,-112.0400918,"Idaho Falls, ID Metropolitan Statistical Area"
"Indianapolis, IN",LAUMT182690000000003,39.7683331,-86.1583501,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area"
"Iowa City, IA",LAUMT192698000000003,41.6612561,-91.5299105,"Iowa City, IA Metropolitan Statistical Area"
"Ithaca, NY",LAUMT362706000000003,42.4396039,-76.4968018,"Ithaca, NY Metropolitan Statistical Area"
"Jackson, MI",LAUMT262710000000003,42.245777,-84.405968,"Jackson, MI Metropolitan Statistical Area"
"Jackson, MS",LAUMT282714000000003,32.4104385,-90.16206489,"Jackson, MS Metropolitan Statistical Area"
"Jackson, TN",LAUMT472718000000003,35.6144446,-88.8177417,"Jackson, TN Metropolitan Statistical Area"
"Jacksonville, FL",LAUMT122726000000003,30.3321838,-81.6556509,"Jacksonville, FL Metropolitan Statistical Area"
"Jacksonville, NC",LAUMT372734000000003,34.7540524,-77.4302414,"Jacksonville, NC Metropolitan Statistical Area"
"Janesville, WI",LAUMT552750000000003,42.7151854,-88.9907742,"Janesville-Beloit, WI Metropolitan Statistical Area"
"Jefferson City, MO",LAUMT292762000000003,38.577359,-92.1724264,"Jefferson City, MO Metropolitan Statistical Area"
"Johnson City, TN",LAUMT472774000000003,36.3134398,-82.3534727,"Johnson City, TN Metropolitan Statistical Area"
"Johnstown, PA",LAUMT422778000000003,40.3267407,-78.9219697,"Johnstown, PA Metropolitan Statistical Area"
"Jonesboro, AR",LAUMT052786000000003,35.8428646,-90.7034521,"Jonesboro, AR Metropolitan Statistical Area"
"Joplin, MO",LAUMT292790000000003,37.0842271,-94.5132809,"Joplin, MO Metropolitan Statistical Area"
"Kahului, HI",LAUMT152798000000003,20.8894101,-156.4727117,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area"
"Kalamazoo, MI",LAUMT262802000000003,42.291707,-85.5872285,"Kalamazoo-Portage, MI Metropolitan Statistical Area"
"Kankakee, IL",LAUMT172810000000003,41.1200325,-87.861153,"Kankakee, IL Metropolitan Statistical Area"
"Kansas City, MO",LAUMT292814000000003,39.0844687,-94.5630297,"Kansas City, MO-KS Metropolitan Statistical Area"
"Kennewick, WA",LAUMT532842000000003,46.2112458,-119.1372337,"Kennewick-Richland, WA Metropolitan Statistical Area"
"Killeen, TX",LAUMT482866000000003,31.1171441,-97.7277959,"Killeen-Temple, TX Metropolitan Statistical Area"
"Kingsport, TN",LAUMT472870000000003,36.550238,-82.5594292,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area"
"Kingston, NY",LAUMT362874000000003,41.928781,-74.0023699,"Kingston, NY Metropolitan Statistical Area"
"Knoxville, TN",LAUMT472894000000003,35.9603948,-83.921026,"Knoxville, TN Metropolitan Statistical Area"
"Kokomo, IN",LAUMT182902000000003,40.4864444,-86.133635,"Kokomo, IN Metropolitan Statistical Area"
"La Crosse, WI",LAUMT552910000000003,43.8013556,-91.2395806,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area"
"Lafayette, IN",LAUMT182920000000003,40.4167022,-86.8752868,"Lafayette-West Lafayette, IN Metropolitan Statistical Area"
"Lafayette, LA",LAUMT222918000000003,30.2240897,-92.0198426,"Lafayette, LA Metropolitan Statistical Area"
"Lake Charles, LA",LAUMT222934000000003,30.2265949,-93.2173758,"Lake Charles, LA Metropolitan Statistical Area"
"Lake Havasu City, AZ",LAUMT042942000000003,34.4742786,-114.3440009,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area"
"Lakeland, FL",LAUMT122946000000003,28.0394654,-81.9498041,"Lakeland-Winter Haven, FL Metropolitan Statistical Area"
"Lancaster, PA",LAUMT422954000000003,40.03813,-76.3056685,"Lancaster, PA Metropolitan Statistical Area"
"Lansing, MI",LAUMT262962000000003,42.7337712,-84.5553804,"Lansing-East Lansing, MI Metropolitan Statistical Area"
"Laredo, TX",LAUMT482970000000003,27.5060991,-99.5088978,"Laredo, TX Metropolitan Statistical Area"
"Las Cruces, NM",LAUMT352974000000003,32.3140354,-106.7798077,"Las Cruces, NM Metropolitan Statistical Area"
"Las Vegas, NV",LAUMT322982000000003,36.1662859,-115.1492249,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area"
"Lawrence, KS",LAUMT202994000000003,38.9719384,-95.2359495,"Lawrence, KS Metropolitan Statistical Area"
"Lawton, OK",LAUMT403002000000003,34.6086854,-98.3903304,"Lawton, OK Metropolitan Statistical Area"
"Lebanon, PA",LAUMT423014000000003,40.3465499,-76.4283811,"Lebanon, PA Metropolitan Statistical Area"
"Lewiston, ID",LAUMT163030000000003,46.4165506,-117.0176568,"Lewiston, ID-WA Metropolitan Statistical Area"
"Lexington, KY",LAUMT213046000000003,38.0464066,-84.4970392,"Lexington-Fayette, KY Metropolitan Statistical Area"
"Lima, OH",LAUMT393062000000003,40.742551,-84.1052255,"Lima, OH Metropolitan Statistical Area"
"Lincoln, NE",LAUMT313070000000003,40.8,-96.6678209,"Lincoln, NE Metropolitan Statistical Area"
"Little Rock, AR",LAUMT053078000000003,34.7464809,-92.2895947,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
"Logan, UT",LAUMT493086000000003,41.7313447,-111.834863,"Logan, UT-ID Metropolitan Statistical Area"
"Longview, TX",LAUMT483098000000003,32.5007038,-94.740489,"Longview, TX Metropolitan Statistical Area"
"Longview, WA",LAUMT533102000000003,46.1427302,-122.9556409,"Longview, WA Metropolitan Statistical Area"
"Los Angeles, CA",LAUMT063108000000003,34.054935,-118.2444759,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area"
"Louisville, KY",LAUMT213114000000003,38.2542376,-85.7594069,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area"
"Lubbock, TX",LAUMT483118000000003,33.5778631,-101.8551664,"Lubbock, TX Metropolitan Statistical Area"
"Lynchburg, VA",LAUMT513134000000003,37.40088,-79.18449229,"Lynchburg, VA Metropolitan Statistical Area"
"Macon, GA",LAUMT133142000000003,32.8406946,-83.6324021,"Macon-Bibb County, GA Metropolitan Statistical Area"
"Madera, CA",LAUMT063146000000003,37.1716264,-119.773799,"Madera, CA Metropolitan Statistical Area"
"Madison, WI",LAUMT553154000000003,43.074761,-89.3837612,"Madison, WI Metropolitan Statistical Area"
