date,Employed,NILF,Unemployed,Population,Total
2015-04-01,1.12,0.49,-0.46,1.1,1.15
2015-07-01,0.95,0.8,-0.6,1.12,1.15
2015-10-01,0.86,0.7,-0.39,1.14,1.16
2016-01-01,1.14,0.29,-0.35,1.06,1.07
2016-04-01,0.94,0.44,-0.29,1.1,1.09
2016-07-01,1.1,0.09,-0.09,1.13,1.1
2016-10-01,0.97,0.27,-0.14,1.13,1.11
2017-01-01,0.65,0.19,-0.17,0.66,0.66
2017-04-01,0.8,0.14,-0.31,0.62,0.63
2017-07-01,0.83,0.11,-0.35,0.59,0.59
2017-10-01,0.72,0.21,-0.38,0.56,0.55
2018-01-01,0.97,0.4,-0.31,1.07,1.06
2018-04-01,0.92,0.38,-0.25,1.09,1.05
2018-07-01,0.81,0.57,-0.32,1.08,1.06
2018-10-01,1.1,0.16,-0.18,1.06,1.08
2019-01-01,0.71,-0.04,-0.1,0.47,0.57
2019-04-01,0.5,0.22,-0.17,0.44,0.55
2019-07-01,0.77,-0.16,-0.08,0.4,0.53
2019-10-01,0.78,-0.15,-0.13,0.4,0.51
2020-01-01,0.34,0.15,-0.01,0.35,0.48
2020-04-01,-7.48,2.28,5.65,0.32,0.46
2020-07-01,-4.52,1.78,3.17,0.29,0.43
2020-10-01,-3.37,1.87,1.9,0.22,0.41
2021-01-01,-2.8,1.86,1.43,0.32,0.5
2021-04-01,5.34,-0.64,-4.25,0.25,0.45
2021-07-01,2.73,-0.05,-2.27,0.2,0.41
2021-10-01,2.07,-0.16,-1.55,0.16,0.36
2022-01-01,2.84,-0.51,-1.42,0.96,0.92
2022-04-01,2.56,-0.26,-1.35,0.95,0.95
2022-07-01,2.03,-0.13,-0.91,0.93,0.98
2022-10-01,1.31,0.05,-0.34,0.92,1.02
2023-01-01,1.07,0.15,-0.16,0.71,1.06
2023-04-01,1.06,0.07,-0.02,0.77,1.11
2023-07-01,1.05,-0.03,0.14,0.85,1.15
2023-10-01,0.98,0.03,0.17,0.96,1.18
2024-01-01,0.27,0.14,0.18,0.64,0.6
2024-04-01,0.13,0.21,0.27,0.66,0.61
2024-07-01,0.04,0.25,0.32,0.66,0.62
2024-10-01,0.01,0.36,0.24,0.63,0.61
2025-01-01,0.87,0.81,0.24,1.98,1.92
2025-04-01,0.83,0.9,0.19,2,1.92
2025-07-01,0.64,1.01,0.22,1.98,1.87
