date,A008RY,A011RY,A014RY,A788RY,A798RY,A799RY,A007RY,Gov,Total
2014-07-01,1.19,0.19,0.28,-0.03,0.02,0.07,1.39,0.06,1.45
2014-10-01,0.48,0.46,-0.7,0.01,0.04,0.09,0.94,0.14,1.08
2015-01-01,0.02,0.26,2.19,-0.09,0.02,-0.02,0.28,-0.09,0.19
2015-04-01,0.38,0.36,-0.45,0.09,0.04,0.29,0.74,0.42,1.16
2015-07-01,0.33,0.44,-0.61,-0.04,0.03,0.09,0.77,0.08,0.85
2015-10-01,-0.24,0.22,-0.41,0.05,0.03,-0.14,-0.02,-0.06,-0.08
2016-01-01,0.05,0.46,-0.8,-0.01,0.06,0.31,0.51,0.36,0.87
2016-04-01,0.46,0.05,-0.8,-0.08,0.03,-0.08,0.51,-0.13,0.38
2016-07-01,0.81,-0.04,-0.47,-0.03,0.02,0.0,0.77,-0.01,0.76
2016-10-01,0.43,0.2,1.25,-0.02,0.03,0.13,0.63,0.14,0.77
2017-01-01,0.54,0.36,-1.1,0.05,0.02,0.01,0.89,0.08,0.97
2017-04-01,0.61,0.09,0.39,0.1,0.02,0.07,0.7,0.19,0.89
2017-07-01,0.53,0.01,0.63,0.0,0.02,0.07,0.54,0.09,0.63
2017-10-01,1.3,0.32,-0.28,0.09,0.06,0.22,1.62,0.37,1.99
2018-01-01,1.53,-0.3,-0.14,0.05,0.06,-0.07,1.23,0.04,1.27
2018-04-01,0.63,0.11,-0.74,0.0,0.05,0.2,0.74,0.25,0.99
2018-07-01,0.35,-0.15,1.99,0.05,0.04,0.01,0.2,0.1,0.3
2018-10-01,0.5,-0.32,-0.11,0.14,0.02,-0.31,0.18,-0.15,0.03
2019-01-01,0.38,-0.17,0.46,0.19,-0.01,0.25,0.2,0.43,0.63
2019-04-01,1.06,0.26,-0.62,-0.3,0.05,0.23,1.32,-0.02,1.3
2019-07-01,0.55,0.22,-0.18,0.21,0.04,-0.03,0.77,0.22,0.99
2019-10-01,-0.24,0.05,-0.78,0.06,0.08,-0.09,-0.19,0.05,-0.14
2020-01-01,-0.96,0.44,-1.28,0.0,0.14,0.25,-0.52,0.39,-0.13
2020-04-01,-4.15,-1.07,-3.69,0.16,0.14,-0.11,-5.22,0.19,-5.03
2020-07-01,2.69,2.39,8.46,0.03,0.09,-0.08,5.08,0.04,5.12
2020-10-01,1.5,1.25,-0.29,0.15,-0.07,0.1,2.75,0.18,2.93
2021-01-01,1.22,0.26,-1.88,-0.19,0.05,-0.14,1.48,-0.28,1.2
2021-04-01,1.31,-0.21,-1.87,-0.02,0.06,-0.29,1.09,-0.25,0.84
2021-07-01,-0.18,-0.04,2.82,0.0,0.07,-0.17,-0.22,-0.1,-0.32
2021-10-01,0.43,0.13,4.15,0.05,0.05,-0.16,0.56,-0.06,0.5
2022-01-01,1.49,-0.35,0.3,-0.08,0.05,0.04,1.15,0.01,1.16
2022-04-01,0.91,-0.56,-2.03,0.08,0.01,-0.13,0.34,-0.04,0.3
2022-07-01,0.8,-1.2,-0.86,-0.13,-0.01,0.1,-0.4,-0.04,-0.44
2022-10-01,0.94,-1.03,1.52,0.21,-0.01,0.02,-0.09,0.22,0.13
2023-01-01,1.13,-0.28,-2.18,-0.03,-0.02,0.19,0.85,0.14,0.99
2023-04-01,1.47,0.16,-0.36,0.07,-0.02,0.33,1.63,0.38,2.01
2023-07-01,0.25,0.44,0.97,0.02,-0.02,0.18,0.69,0.18,0.87
2023-10-01,0.76,0.06,-0.17,0.04,0.07,0.29,0.82,0.4,1.22
2024-01-01,0.22,0.32,-0.83,-0.09,0.06,0.04,0.54,0.01,0.55
2024-04-01,0.35,-0.08,1.17,0.1,0.03,0.07,0.27,0.2,0.47
2024-07-01,0.48,-0.2,-0.11,0.17,0.02,0.13,0.28,0.32,0.6
2024-10-01,-0.51,0.17,-0.91,0.01,-0.01,0.12,-0.34,0.12,-0.22
2025-01-01,1.24,-0.04,2.58,0.04,-0.03,0.05,1.21,0.06,1.27
2025-04-01,0.98,-0.21,-3.44,0.0,-0.01,0.13,0.77,0.12,0.89
2025-07-01,0.44,-0.29,-0.12,0.02,-0.01,0.02,0.15,0.03,0.18
2025-10-01,0.51,-0.06,0.21,0.0,-0.02,0.14,0.45,0.12,0.57
