date,gdp,pop_contr,epop_contr,hours_contr,hh_inp,prod
1996-07-01,3.6367,1.30925,1.93894,0.1307,3.40855,0.22063
1996-10-01,4.21862,1.28455,0.800495,0.294071,2.39556,1.78041
1997-01-01,2.60688,1.06304,1.07264,0.588001,2.74771,-0.137065
1997-04-01,6.8291,1.15077,1.92194,0.683293,3.79927,2.91894
1997-07-01,5.08859,1.33266,1.18653,0.313417,2.85637,2.17024
1997-10-01,3.45944,1.25684,0.745666,-0.304004,1.70176,1.72827
1998-01-01,4.07587,1.03127,0.687657,-0.239854,1.48202,2.55597
1998-04-01,3.75448,1.10047,0.989031,0.109041,2.21172,1.50938
1998-07-01,5.13166,1.25406,0.579436,0.244251,2.08951,2.97989
1998-10-01,6.59383,1.2151,0.897977,0.257873,2.38734,4.10841
1999-01-01,3.81102,1.01804,-0.614857,0.0799733,0.477217,3.31797
1999-04-01,3.38101,1.09809,-0.432682,-0.0144365,0.646126,2.71733
1999-07-01,5.40995,1.27887,1.2694,0.346605,2.92001,2.4193
1999-10-01,6.72595,1.20841,1.1965,0.812394,3.25142,3.36512
2000-01-01,1.45909,1.01887,1.26243,0.614478,2.92273,-1.42208
2000-04-01,7.4866,0.995742,0.0488135,-0.105486,0.938454,6.48727
2000-07-01,0.408354,1.09191,-0.728106,-0.784262,-0.431204,0.843194
2000-10-01,2.40963,1.06517,0.783963,-1.00498,0.833831,1.56277
2001-01-01,-1.30476,0.920206,-0.113354,-0.78008,0.0194427,-1.32395
2001-04-01,2.52151,0.944552,-2.86647,-0.731068,-2.66581,5.3294
2001-07-01,-1.59295,1.05174,-2.37429,-0.79358,-2.13041,0.549157
2001-10-01,1.10364,1.02357,-2.33161,-0.785648,-2.10709,3.27984
2002-01-01,3.38764,0.874164,-1.6795,-0.385685,-1.20254,4.64604
2002-04-01,2.47344,0.893774,0.749337,0.206617,1.85983,0.602406
2002-07-01,1.63599,1.01739,-0.503493,0.118322,0.627703,1.002
2002-10-01,0.495338,0.980335,-0.559326,-0.292956,0.121352,0.373532
2003-01-01,2.12327,0.83627,-0.950483,-0.605506,-0.726928,2.87107
2003-04-01,3.58982,0.891983,-0.451157,-0.474226,-0.0394965,3.63076
2003-07-01,6.82062,0.997788,-1.50778,0.112276,-0.413352,7.264
2003-10-01,4.72435,0.959302,1.17555,0.486719,2.64329,2.02747
2004-01-01,2.28594,0.780323,0.742149,0.200794,1.73213,0.544389
2004-04-01,3.13603,0.877047,-0.0399326,-0.4019,0.431501,2.69291
2004-07-01,3.84871,0.997993,1.27012,-0.456941,1.81342,1.99903
2004-10-01,4.14371,0.999169,0.805345,0.200769,2.01697,2.08469
2005-01-01,4.51184,0.849805,0.0816913,0.711001,1.64982,2.81557
2005-04-01,1.98511,0.858467,2.17103,0.50902,3.57267,-1.5328
2005-07-01,3.17231,1.02152,1.5484,0.232423,2.82417,0.338575
2005-10-01,2.24065,1.00985,-0.842442,0.179331,0.338519,1.89571
2006-01-01,5.49112,0.8794,1.17059,0.275542,2.3415,3.07756
2006-04-01,1.03904,0.904971,1.54806,0.452715,2.93092,-1.83802
2006-07-01,0.601174,1.03885,0.495157,0.379748,1.92474,-1.29857
2006-10-01,3.48237,1.02807,1.54045,-0.157672,2.42261,1.03469
2007-01-01,1.20878,0.88799,-0.468071,-0.671018,-0.258045,1.47062
2007-04-01,2.46959,0.899865,-1.39905,-0.454009,-0.96346,3.46645
2007-07-01,2.32409,1.03826,-0.241275,0.105439,0.900756,1.41063
2007-10-01,2.53673,1.01822,0.360242,0.124586,1.50844,1.01301
2008-01-01,-1.69616,0.881282,-1.25437,-0.384968,-0.767628,-0.935716
2008-04-01,2.40307,0.880671,-1.51674,-0.971303,-1.61442,4.08341
2008-07-01,-2.08454,0.980263,-2.70829,-1.68993,-3.41485,1.37735
2008-10-01,-8.47277,0.940429,-4.1579,-2.09098,-5.27946,-3.3713
2009-01-01,-4.4628,0.813947,-7.79477,-1.42411,-8.36806,4.26189
2009-04-01,-0.712691,0.82456,-4.71651,-6.45911,-10.136,10.4862
2009-07-01,1.41219,0.924327,-3.30871,0.789528,-1.64451,3.10781
2009-10-01,4.39426,0.929617,-3.31411,1.45957,-0.990981,5.43915
2010-01-01,1.95213,0.802529,0.154155,1.62355,2.59702,-0.628564
2010-04-01,3.92688,0.761848,0.357017,0.973123,2.10562,1.7837
2010-07-01,3.1202,0.85532,-0.111726,0.00652093,0.749207,2.35336
2010-10-01,2.11704,0.866042,-0.59833,-0.0166629,0.245824,1.86663
2011-01-01,-0.945449,0.720905,0.913138,0.488877,2.13752,-3.01845
2011-04-01,2.73392,0.727358,-1.39908,0.530413,-0.155107,2.89351
2011-07-01,-0.0892211,0.856317,-0.307153,0.427081,0.975949,-1.05487
2011-10-01,4.56844,0.836461,2.74684,0.315861,3.93353,0.610881
2012-01-01,3.39679,0.710995,1.46364,0.159879,2.34842,1.02432
2012-04-01,1.79733,0.715713,0.196261,0.214695,1.13003,0.659836
2012-07-01,0.577358,0.838573,0.633668,0.55175,2.03746,-1.43094
2012-10-01,0.463365,0.833412,1.5787,0.752406,3.19592,-2.64793
2013-01-01,4.00503,0.648631,-1.58391,0.447928,-0.501857,4.52961
2013-04-01,1.07485,0.681483,1.04748,0.30531,2.04672,-0.952373
2013-07-01,3.44931,0.840355,1.19818,0.360065,2.41605,1.00889
2013-10-01,3.53283,0.854658,-1.20811,0.217594,-0.14697,3.68521
2014-01-01,-1.37325,0.721698,2.57482,0.13718,3.45683,-4.66869
2014-04-01,5.26837,0.734282,1.11006,0.280144,2.13783,3.06501
2014-07-01,4.95092,0.868235,0.329569,0.475042,1.68141,3.21544
2014-10-01,2.03833,0.869291,2.21697,0.410687,3.52897,-1.43983
2015-01-01,3.65089,0.696735,0.0950239,0.290058,1.08478,2.53857
2015-04-01,2.50074,0.718896,1.43443,0.0481453,2.21282,0.281682
2015-07-01,1.61062,0.852664,-0.917217,-0.099077,-0.171379,1.78506
2015-10-01,0.739961,0.850018,2.29213,0.0895399,3.254,-2.43481
2016-01-01,2.33831,0.717881,1.62548,0.0852387,2.44227,-0.101487
2016-04-01,1.2907,0.714525,0.175401,-0.368423,0.519472,0.767239
2016-07-01,2.8679,0.816223,0.578013,-0.910604,0.47561,2.38096
2016-10-01,2.2357,0.780298,-0.178464,-0.788675,-0.19297,2.43337
2017-01-01,1.96183,0.609988,1.44038,-0.0913382,1.96593,-0.00402049
2017-04-01,2.25837,0.616454,1.56376,0.472481,2.67268,-0.403524
2017-07-01,3.1916,0.720144,0.973902,0.841369,2.55674,0.619032
2017-10-01,4.58497,0.675831,-0.885728,0.903604,0.68577,3.87265
2018-01-01,3.29355,0.488342,1.52009,0.847395,2.88033,0.401656
2018-04-01,2.14027,0.530988,2.04486,0.662473,3.26631,-1.09043
2018-07-01,2.51823,0.627297,-0.863,0.202906,-0.0386998,2.55792
2018-10-01,0.567782,0.587236,2.03164,-0.263786,2.36008,-1.75097
2019-01-01,2.52076,0.421477,0.472341,-0.291603,0.601593,1.90769
2019-04-01,3.38266,0.457936,-0.193491,0.401134,0.66575,2.69895
2019-07-01,4.76278,0.58671,1.88726,0.799452,3.30436,1.41178
2019-10-01,2.75554,0.580992,1.61077,0.339175,2.54776,0.202615
2020-01-01,-5.16223,0.407617,-2.90954,-3.43639,-5.86378,0.745249
2020-04-01,-27.9761,0.267703,-41.7203,-6.32832,-45.2622,31.5799
2020-07-01,34.855,0.209146,26.09,0.892756,27.4817,5.78379
2020-10-01,4.61174,0.205014,10.921,1.70821,13.0471,-7.46181
2021-01-01,5.70126,-0.068233,0.407289,1.6794,2.02386,3.60444
2021-04-01,6.98333,0.196901,2.78595,0.795822,3.80794,3.05891
2021-07-01,3.34128,0.498597,4.14443,-0.0121878,4.65094,-1.25145
2021-10-01,7.04168,0.574443,5.49836,-0.276112,5.81142,1.16269
2022-01-01,-1.01531,0.42898,3.7191,-0.135177,4.02322,-4.84366
2022-04-01,0.62766,0.601116,1.73001,-0.302178,2.03227,-1.37664
2022-07-01,2.91902,0.800885,1.36761,-0.57445,1.59248,1.30574
2022-10-01,2.78968,0.863434,0.341365,-0.367775,0.83553,1.93796
2023-01-01,2.92699,0.749576,3.61203,0.0180004,4.40747,-1.41798
2023-04-01,2.53524,0.792079,-0.404596,0.0529256,0.437408,2.0887
2023-07-01,4.69489,0.957953,-0.0388449,-0.404654,0.510365,4.16328
2023-10-01,3.41922,1.00343,-0.536899,-0.917712,-0.460802,3.89798
2024-01-01,0.842092,0.889775,-0.649487,-0.846643,-0.614119,1.46521
2024-04-01,3.58927,0.939276,0.327696,-0.282332,0.984132,2.57975
2024-07-01,3.34015,0.802806,-0.753753,0.177929,0.221008,3.11227
2024-10-01,1.85223,0.584716,-0.568957,0.292437,0.304906,1.54262
2025-01-01,-0.648483,0.442562,1.0513,0.124488,1.62486,-2.237
2025-04-01,3.83803,0.469506,-1.01738,0.0810236,-0.472072,4.33055
2025-07-01,4.3754,0.465041,-0.183181,0.258382,0.540116,3.81468
