date,Automotive products,Basic metals,Business supplies,Chemical,Chemical materials,Chemical products,Clothing,Commercial energy products,Construction supplies,Consumer energy products,Consumer goods,Consumer parts,Durable consumer goods,Durable goods materials,Durable manufacturing,ENS,Electric and gas utilities,Energy materials,Equipment parts,"Equipment, total","Food, beverage, and tobacco",Foods and tobacco,Industrial equipment,Information processing and related equipment,Manufacturing,Materials,Mining,Motor vehicles and parts,Nondurable consumer goods,Nondurable goods materials,Nondurable manufacturing,Nonindustrial supplies,Oil and gas well drilling and manufactured homes,Paper materials,Paper products,Textile materials,Total index,Transit equipment,Non-energy materials
1977-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-01-01,0.5570481419413618,0.22758491470004277,0.1799319806711224,0.2774205761040115,0.15721989740612238,0.04226789364856474,-0.0837345370273194,0.027106238667068502,0.11581850712808231,-0.1300943407047131,0.5715128386540337,0.39319469943838536,0.7036971073724966,1.253118690786972,2.7372877915897353,0.9965296731549658,-0.13409271048426744,-0.03669702647793391,0.46733127132350205,0.7011651716279512,0.11666124747887892,0.05697881402565273,0.26328117749865665,0.17974064837905238,3.2642321106050938,1.5188615810192743,-0.012029883882115426,1.0382280321171993,-0.08184767218772533,0.3361152841923494,0.6813047096767733,0.2953645015270145,-0.01592066636033115,0.07189787022900727,0.04034314267682519,0.002876825943186338,3.0792614276063945,0.23280785414295235,1.555558607497208
1989-02-01,0.49732236899446053,0.07962800051926756,0.11812073238423358,0.3595441676197632,0.21666003322922614,0.050676678183407674,-0.10899715437487473,0.030920742019329858,-0.027160552320182045,-0.05755575057524408,0.4020838119506662,0.25304593907098544,0.6249376117043903,0.7376017296926503,1.9091888048616459,0.6749664183721156,0.15130091057744158,0.056115237999954555,0.40170990821147873,0.5849984061862833,-0.006036589626162078,-0.05402027595272623,0.22002091981454083,0.16866043354820828,2.1416251485148443,1.0414969107455176,-0.161513989899165,0.8413740574208164,-0.1762430342066718,0.25818388788808905,0.34125099840835715,0.08996801218583222,-0.039725769168659615,-0.023888997146519958,-0.004732558139534958,-0.024451506886217417,2.111356945517584,0.19343428165785842,0.9853816727455631
1989-03-01,0.3443594291282259,0.11787086615733715,0.2430864517917806,0.3566310299318762,0.18566281885949723,0.06300285241110545,-0.11992752622657857,0.11788891435845239,-0.03256436924689585,0.15872600407625037,0.5151948914407807,0.12081154942114762,0.4417516951794742,0.6354128979880839,1.4186269187964533,0.5943589641764132,0.4785128234047597,0.08816585365853712,0.39797006376934546,0.3868309546237996,0.008667458120031854,-0.02767285012328899,0.17203234410498616,0.07661138281793914,1.8171546355278267,1.0069011527501148,-0.16225679775949758,0.5307678587905482,0.091734531939094,0.28995951612567317,0.4385899947009095,0.20752800955261355,-0.03951171748116105,0.01854976026942734,0.035453900531788436,0.0027366427447706233,2.1147048238211674,0.2015319124076929,0.9187352990915777
1989-04-01,0.24538913129932524,0.1055730264198709,0.1354674951715068,0.07890278369292905,0.11158600933312204,-0.05324546630543518,-0.1037686789045175,0.08357148977380083,-0.01672374104270685,0.06525336959931832,0.2244637842181035,-0.04948982233926569,0.3281690299241083,0.39470469560239246,1.160478000873519,0.6310799017638568,0.29242356988488427,0.08383356444814657,0.35844088202044316,0.5132396859199446,0.055597612425124544,0.01643092713031367,0.15720534944759074,0.054498951518201784,1.2129519718008852,0.6610337831367302,0.00424336894319155,0.18151422259302832,-0.08900343729480725,0.1891196251657837,0.12902956837194426,0.11784021584391209,-0.04245931083803695,-0.023231593797577225,-0.003260097126411112,0.016077154582763306,1.510544400528735,0.19412436909437364,0.5772002186885836
1989-05-01,0.09552614524327746,0.022298647818069745,0.21513583875660755,0.10454737229077787,0.10785029867312047,0.03429286082713019,-0.11003601051376172,0.08843688243472884,-0.0569089637645541,0.04619848825155521,0.18206517935487004,-0.15976550942308226,0.17447532910375568,0.09218575194407502,0.5218491949215016,0.48025611907905497,0.3784922514645769,0.16468644005238622,0.2559283574493672,0.325710655954868,-0.0016677820695414568,-0.021281611916281824,-0.025654639543663867,0.03105268847795175,0.7883185150293014,0.47756151582431233,-0.031625454595220835,-0.10154697637698895,0.012088315267168331,0.22982017734796184,0.27231976079979214,0.154545463124187,-0.05038329116955824,0.032574637114736425,0.07113564939927736,0.04142552342626041,1.1373664245240223,0.1719125865640103,0.3128750757719261
1989-06-01,-0.045348951671166184,0.06713493810589109,0.19244659857363416,0.14485129856972562,0.09501785617901949,0.0730357171393228,-0.09774315391823317,0.07041924895964283,-0.021032353424460214,0.06275371926954101,0.14142664525726792,-0.2782384055183604,0.05321132566929797,0.03964333081326267,0.40953781463098554,0.5697842002352842,0.21273512393266364,-0.10466140867158107,0.23670022059330462,0.40007676021204897,0.047484478337408736,0.03543525238032108,0.10020578084977419,-0.004546467846539436,0.731668565543065,0.13234468554175166,-0.11183202393099477,-0.39568797450807286,0.08942393243743971,0.2046673540493757,0.3404420612933763,0.1697074400232352,-0.042979398979398994,0.004975290772809508,0.019928625098739515,0.04756077033447681,0.8371301845179868,0.1506301744253125,0.23700609421333274
1989-07-01,-0.044229164896072086,0.010240180358773873,0.054522402220795234,0.04209459649020276,0.05178927118684998,0.033123385592357564,-0.09860907975169445,0.03628411907510365,-0.023624382227632232,-0.03184709461604475,-0.40055034804256406,-0.25409962409458764,-0.02839083626507869,-0.10584111905589413,0.06539231046024391,0.38271133723510264,0.1685526876884018,-0.06806688702102154,0.18547687831593324,0.35227060712117547,-0.3432193006555972,-0.2890592203188625,0.07695822140516732,0.02720961081794169,-0.19374323723027032,-0.11953110992468055,-0.13000245554032488,-0.3299457817723773,-0.36705553272268526,0.05769450113073513,-0.24823978075606248,0.030440730113927145,-0.03055259735815483,-0.023749709302325624,0.020394970662196196,0.08392517215385839,-0.150328322933313,0.13590487181490032,-0.05146422290365901
1989-08-01,0.13881058681702343,-0.0022269529624649076,0.034189691755051765,0.04826369034829122,0.003729510179630351,0.06977718509928947,-0.08959920039011188,-0.0008027906007671614,-0.0009410277993767312,-0.16372638297812409,-0.12042188784485003,-0.24976813309110038,0.1911699059841817,-0.025199848443097504,0.5184608622614876,0.5373368661826461,-0.05694741111590875,-0.07896159407354666,0.21409924839429817,0.5042362307496813,-0.1522777425283168,-0.13918066285163638,0.03863223698086444,0.0874242472082852,0.4547865772282682,-0.08011725916837548,-0.07592790309077359,-0.031195510046367884,-0.30024352887091704,0.018930484972713293,-0.037951856189687196,0.033100635432964806,-0.023202237774321736,-0.02287640497782461,0.024387666179078654,0.055249190743309626,0.32497957712054326,0.2185882337944244,-0.0011556650948288116
1989-09-01,0.0164123592128937,-0.07175698197981949,0.14191938945483257,0.18118818154254415,0.026373889265635646,0.059957828941117404,-0.06473843131723012,0.06468549924702859,-0.02249099639357997,0.06552338509395447,-0.06694955307352947,-0.32866857683059875,0.054677230256345986,-0.22292855793394603,-0.005037601956790494,0.4322851726728895,0.2959212953231734,0.19803393906554456,0.18349181923103128,0.31408404102807996,-0.18717100024844824,-0.16687778209814144,0.019304870705415818,0.05809230135451398,0.009757267811444039,-0.03845931675343189,0.016957418188978488,-0.27719166524496597,-0.12039507553198275,0.001578119259740426,0.07880175576435665,0.11820113164480955,-0.028319607240759985,-0.03268069688024517,-0.02017620629728071,0.03387055265287369,0.3240432253134973,0.132591172330726,-0.23649325581897646
1989-10-01,-0.137233726600479,-0.015917635293776756,0.10051705608621749,0.28168683956089097,0.07714538659344522,0.09607833429104869,-0.04417314014213081,0.0503487450152867,-0.01923805539584785,-0.04146788042845551,-0.19586017674204861,-0.4200656697688333,-0.13817878412870227,-0.37221514588663224,-0.6655530028681903,0.027055586533400962,0.3632902238630677,0.3332677591727596,0.12509213105888065,-0.05342237185135001,-0.11302796821516459,-0.06810736660998953,0.01239697895198994,0.11752766896006812,-0.540148983222897,-0.07584312432870421,-0.05744308349751604,-0.5735677119517398,-0.055390081139579134,-0.008991929573246578,0.22575213926845555,0.08047795838475097,-0.026662055617563924,-0.020406970527244946,-0.005685375751632566,0.02359775424865159,-0.24121871415987428,-0.10263045347622203,-0.4091108835014638
1989-11-01,-0.14364626623496643,-0.1095266008721597,0.143221299417885,0.282153818984548,-0.031201279176672096,0.12420484395750375,-0.07028151772350529,0.09885945445205221,-0.0376499710850171,-0.014164542213111714,-0.13630605838822493,-0.4838756711063136,-0.1715934661750377,-0.5638920082291506,-0.9043842890178947,0.08084994874772909,0.5220118948953358,0.5385998006761856,0.10697276161523428,-0.02292442554829104,0.006834058329703806,-0.014350199380391507,0.010156020625460982,0.1639008849703774,-0.6467959042072621,-0.09435093637047673,-0.0012801241833914118,-0.6021248580483418,0.04184839913628246,-0.013039009528988165,0.34968803973906243,0.10377437429602013,-0.01758038971011712,-0.010692199230910122,0.010500623141198031,0.02217171276970672,-0.14564426549978915,-0.13077385798357877,-0.6329507370466624
1989-12-01,-0.15423710862378165,-0.14446884995379222,0.1299462322229016,0.0921788172327899,-0.11263105585775601,0.15877425783084215,-0.07329497942013875,0.14186020829712373,-0.08667979557113892,0.25507102344663707,0.11506730947453965,-0.4874051398829927,-0.1770585913249341,-0.666272027253654,-0.7939004576576612,0.1772020953710505,1.3184469696662358,0.5967153945057547,0.10609341711014704,0.13772633916624333,0.015350581550745158,0.017479192192593432,-0.011861602181476128,0.18258714787856686,-1.0179488832053802,-0.34490325518897247,-0.2034743213490304,-0.6164542730659563,0.3065703395748608,-0.20859937465694484,-0.11190616224820044,0.039475756204807165,-0.013880881555190327,-0.09171455996442146,-0.03956607580711085,0.000244624857536035,-0.05074563869427173,-0.04018328202859445,-0.9416186496947272
