date,Government,Utilities,Wholesale trade,Retail trade,Transportation and warehousing,Private goods-producing industries [1],Private services-producing industries [2],"Finance, insurance, real estate, rental, and leasing","Educational services, health care, and social assistance",Construction,Manufacturing,Information,Professional and business services,Federal,State and local,TTU,FIRE,Oth_Serv,GoodsTTU,Accommodation,Accommodation and food services,Administrative and support services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting",Air transportation,Ambulatory health care services,"Amusements, gambling, and recreation industries",Apparel and leather and allied products,"Arts, entertainment, and recreation","Arts, entertainment, recreation, accommodation, and food services",Broadcasting and telecommunications,Chemical products,Computer and electronic products,Computer systems design and related services,"Data processing, internet publishing, and other information services",Durable goods,Educational services,"Electrical equipment, appliances, and components",Fabricated metal products,Farms,"Federal Reserve banks, credit intermediation, and related activities",Finance and insurance,Food and beverage and tobacco products,Food and beverage stores,Food services and drinking places,"Forestry, fishing, and related activities","Funds, trusts, and other financial vehicles",Furniture and related products,General government,General merchandise stores,Government enterprises,Gross domestic product,Health care and social assistance,Hospitals,Housing,Insurance carriers and related activities,Legal services,Machinery,Management of companies and enterprises,Mining,"Mining, except oil and gas",Miscellaneous manufacturing,"Miscellaneous professional, scientific, and technical services",Motion picture and sound recording industries,Motor vehicle and parts dealers,"Motor vehicles, bodies and trailers, and parts",National defense,Nondefense,Nondurable goods,Nonmetallic mineral products,Nursing and residential care facilities,Oil and gas extraction,Other real estate,Other retail,"Other services, except government",Other transportation and support activities,Other transportation equipment,Paper products,"Performing arts, spectator sports, museums, and related activities",Petroleum and coal products,Pipeline transportation,Plastics and rubber products,Primary metals,Printing and related support activities,Private industries,"Professional, scientific, and technical services","Publishing industries, except internet (includes software)",Rail transportation,Real estate,Real estate and rental and leasing,Rental and leasing services and lessors of intangible assets,"Securities, commodity contracts, and investments",Social assistance,Support activities for mining,Textile mills and textile product mills,Transit and ground passenger transportation,Truck transportation,Warehousing and storage,Waste management and remediation services,Water transportation,Wood products
1998-01-01,0.16,-0.09,0.59,0.64,0.15,0.85,3.29,0.82,0.03,0.19,0.66,0.48,0.46,-0.01,0.17,1.29,1.3,0.7,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-01,0.16,-0.09,0.59,0.64,0.15,0.85,3.29,0.82,0.03,0.19,0.66,0.48,0.46,-0.01,0.17,1.29,1.3,0.7,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-01,0.16,-0.09,0.59,0.64,0.15,0.85,3.29,0.82,0.03,0.19,0.66,0.48,0.46,-0.01,0.17,1.29,1.3,0.7,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-01,0.16,-0.09,0.59,0.64,0.15,0.85,3.29,0.82,0.03,0.19,0.66,0.48,0.46,-0.01,0.17,1.29,1.3,0.7,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,0.16,0.29,0.2,0.25,0.03,1.05,3.45,1.18,0.23,0.18,0.86,0.57,0.48,-0.03,0.19,0.77,1.75,0.93,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-01,0.16,0.29,0.2,0.25,0.03,1.05,3.45,1.18,0.23,0.18,0.86,0.57,0.48,-0.03,0.19,0.77,1.75,0.93,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-01,0.16,0.29,0.2,0.25,0.03,1.05,3.45,1.18,0.23,0.18,0.86,0.57,0.48,-0.03,0.19,0.77,1.75,0.93,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-01,0.16,0.29,0.2,0.25,0.03,1.05,3.45,1.18,0.23,0.18,0.86,0.57,0.48,-0.03,0.19,0.77,1.75,0.93,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,0.27,0.02,0.31,0.23,-0.01,1.28,2.62,1,0.25,0.18,1.08,-0.09,0.62,0.05,0.22,0.55,0.91,1.16,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,0.27,0.02,0.31,0.23,-0.01,1.28,2.62,1,0.25,0.18,1.08,-0.09,0.62,0.05,0.22,0.55,0.91,1.16,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,0.27,0.02,0.31,0.23,-0.01,1.28,2.62,1,0.25,0.18,1.08,-0.09,0.62,0.05,0.22,0.55,0.91,1.16,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,0.27,0.02,0.31,0.23,-0.01,1.28,2.62,1,0.25,0.18,1.08,-0.09,0.62,0.05,0.22,0.55,0.91,1.16,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,0.13,-0.33,0.11,0.24,-0.21,-0.6,1.22,1.07,0.16,-0.09,-0.63,0.27,0.3,-0.05,0.19,-0.19,1.34,0.07,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,0.13,-0.33,0.11,0.24,-0.21,-0.6,1.22,1.07,0.16,-0.09,-0.63,0.27,0.3,-0.05,0.19,-0.19,1.34,0.07,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,0.13,-0.33,0.11,0.24,-0.21,-0.6,1.22,1.07,0.16,-0.09,-0.63,0.27,0.3,-0.05,0.19,-0.19,1.34,0.07,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,0.13,-0.33,0.11,0.24,-0.21,-0.6,1.22,1.07,0.16,-0.09,-0.63,0.27,0.3,-0.05,0.19,-0.19,1.34,0.07,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,0.24,0.06,0.06,0.29,-0.11,0.03,1.51,0.17,0.29,-0.15,0.12,0.46,0.13,0.08,0.16,0.3,0.63,0.58,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-01,0.24,0.06,0.06,0.29,-0.11,0.03,1.51,0.17,0.29,-0.15,0.12,0.46,0.13,0.08,0.16,0.3,0.63,0.58,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-01,0.24,0.06,0.06,0.29,-0.11,0.03,1.51,0.17,0.29,-0.15,0.12,0.46,0.13,0.08,0.16,0.3,0.63,0.58,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-01,0.24,0.06,0.06,0.29,-0.11,0.03,1.51,0.17,0.29,-0.15,0.12,0.46,0.13,0.08,0.16,0.3,0.63,0.58,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,0.16,-0.04,0.31,0.34,0.1,0.74,1.75,0.24,0.29,0.07,0.73,0.16,0.34,0.08,0.08,0.71,0.4,0.64,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-01,0.16,-0.04,0.31,0.34,0.1,0.74,1.75,0.24,0.29,0.07,0.73,0.16,0.34,0.08,0.08,0.71,0.4,0.64,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-01,0.16,-0.04,0.31,0.34,0.1,0.74,1.75,0.24,0.29,0.07,0.73,0.16,0.34,0.08,0.08,0.71,0.4,0.64,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-01,0.16,-0.04,0.31,0.34,0.1,0.74,1.75,0.24,0.29,0.07,0.73,0.16,0.34,0.08,0.08,0.71,0.4,0.64,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,0.12,0.1,0.24,0.11,0.23,1.18,2.37,0.3,0.36,0.17,0.92,0.56,0.27,0.08,0.05,0.68,0.86,0.83,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-01,0.12,0.1,0.24,0.11,0.23,1.18,2.37,0.3,0.36,0.17,0.92,0.56,0.27,0.08,0.05,0.68,0.86,0.83,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-01,0.12,0.1,0.24,0.11,0.23,1.18,2.37,0.3,0.36,0.17,0.92,0.56,0.27,0.08,0.05,0.68,0.86,0.83,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-01,0.12,0.1,0.24,0.11,0.23,1.18,2.37,0.3,0.36,0.17,0.92,0.56,0.27,0.08,0.05,0.68,0.86,0.83,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-01,0.05,-0.03,0.15,0.69,0.22,-0.04,2.7,1.01,0.2,-0.16,0.08,0.41,-0.02,-0.03,0.08,1.03,1.42,0.25,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-01,0.14,0.09,0.13,0.62,0.63,-0.2,3.13,0.71,0.51,-0.14,0.46,-0.09,0.31,0.01,0.13,1.47,0.62,1.04,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-01,0.2,0.01,0.41,-0.6,0.16,0.75,1.35,0.75,0.14,-0.14,1.14,0.08,0.33,0.12,0.08,-0.02,0.83,0.54,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,-0.12,-0.03,0.02,0.44,-0.02,3.06,2.89,0.59,0.6,0.4,1.65,-0.01,0.98,-0.07,-0.05,0.41,0.58,1.9,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-04-01,0.11,0.51,-0.15,0.24,0.29,-0.25,1.24,-0.42,0.25,-0.37,-0.05,0.42,0.12,0.03,0.08,0.89,0,0.35,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-01,0.18,0.08,-0.01,-0.61,-0.01,-0.63,0.84,0.68,-0.04,-0.36,-0.04,0.72,0.11,0.07,0.11,-0.55,1.4,-0.01,-1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10-01,0.08,-0.13,0.06,0.2,-0.03,0.55,2.07,1.32,0.18,-0.53,0.93,-0.05,0.55,0.01,0.07,0.1,1.27,0.7,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
