date,A065RC,A033RC,CAPITAL,TRANSFER
2019-07-01,2.22,0.78,1.21,0.23
2019-10-01,2.57,2.62,0.33,-0.38
2020-01-01,2.62,2.59,-0.17,0.2
2020-04-01,36.47,-16.08,-5.13,57.67
2020-07-01,-11.67,7.73,3.78,-23.18
2020-10-01,-5.92,7.04,-0.09,-12.86
2021-01-01,48.49,-1.08,-2.11,51.69
2021-04-01,-24.56,1.96,1.51,-28.02
2021-07-01,-3.68,2.64,-0.49,-5.83
2021-10-01,-2.98,3.18,-0.69,-5.47
2022-01-01,-4.15,-0.4,-1.22,-2.53
2022-04-01,-1.33,-0.48,0.09,-0.94
