date,total,food_energy,core_goods,core_services,shelter
2019-03-01,1.86,0.25,-0.01,0.51,1.11
2019-04-01,2,0.37,-0.04,0.54,1.13
2019-05-01,1.79,0.22,-0.04,0.51,1.09
2019-06-01,1.65,-0.02,0.03,0.5,1.15
2019-07-01,1.81,0.07,0.08,0.52,1.14
2019-08-01,1.75,-0.13,0.16,0.61,1.1
2019-09-01,1.71,-0.14,0.13,0.57,1.15
2019-10-01,1.76,-0.06,0.06,0.66,1.1
2019-11-01,2.05,0.22,0.02,0.71,1.1
2019-12-01,2.29,0.49,0.01,0.7,1.08
2020-01-01,2.49,0.69,-0.05,0.74,1.1
2020-02-01,2.33,0.44,0,0.77,1.1
2020-03-01,1.54,-0.17,-0.04,0.69,1
2020-04-01,0.33,-0.92,-0.17,0.43,0.87
2020-05-01,0.12,-0.96,-0.2,0.32,0.85
2020-06-01,0.65,-0.38,-0.21,0.37,0.79
2020-07-01,0.99,-0.33,-0.1,0.57,0.78
2020-08-01,1.31,-0.14,0.08,0.53,0.76
2020-09-01,1.37,-0.06,0.2,0.46,0.68
2020-10-01,1.18,-0.17,0.22,0.36,0.68
2020-11-01,1.17,-0.22,0.27,0.39,0.64
2020-12-01,1.36,0.07,0.34,0.34,0.61
2021-01-01,1.4,0.28,0.34,0.24,0.54
2021-02-01,1.68,0.65,0.27,0.27,0.49
2021-03-01,2.62,1.3,0.34,0.41,0.56
2021-04-01,4.16,1.79,0.89,0.77,0.71
2021-05-01,4.99,1.96,1.31,0.99,0.74
2021-06-01,5.39,1.83,1.74,0.96,0.86
2021-07-01,5.37,1.96,1.7,0.76,0.94
2021-08-01,5.25,2.06,1.56,0.69,0.95
2021-09-01,5.39,2.18,1.48,0.68,1.05
2021-10-01,6.22,2.58,1.71,0.77,1.16
2021-11-01,6.81,2.87,1.9,0.76,1.28
2021-12-01,7.04,2.69,2.16,0.81,1.38
2022-01-01,7.48,2.69,2.36,0.98,1.45
2022-02-01,7.87,2.79,2.48,1.03,1.57
2022-03-01,8.54,3.44,2.36,1.11,1.65
2022-04-01,8.26,3.41,1.98,1.21,1.69
2022-05-01,8.58,3.85,1.74,1.24,1.78
2022-06-01,9.06,4.43,1.48,1.37,1.83
2022-07-01,8.52,3.91,1.44,1.37,1.85
2022-08-01,8.26,3.32,1.46,1.49,2.03
2022-09-01,8.2,3.02,1.37,1.71,2.15
2022-10-01,7.75,2.85,1.05,1.65,2.24
2022-11-01,7.11,2.47,0.76,1.63,2.31
2022-12-01,6.45,1.93,0.47,1.59,2.47
2023-01-01,6.41,2,0.31,1.52,2.58
2023-02-01,6.04,1.66,0.22,1.51,2.65
2023-03-01,4.98,0.6,0.33,1.4,2.65
2023-04-01,4.93,0.61,0.43,1.26,2.63
2023-05-01,4.05,-0.11,0.43,1.12,2.6
2023-06-01,2.97,-0.77,0.28,0.95,2.51
2023-07-01,3.18,-0.44,0.16,0.98,2.48
2023-08-01,3.67,0.28,0.05,0.99,2.36
2023-09-01,3.7,0.47,0,0.92,2.33
2023-10-01,3.24,0.09,0.02,0.94,2.2
2023-11-01,3.14,-0.02,0.01,1,2.14
2023-12-01,3.35,0.23,0.04,0.97,2.12
2024-01-01,3.09,0.02,-0.06,1.04,2.08
2024-02-01,3.15,0.17,-0.06,1.06,1.98
2024-03-01,3.48,0.45,-0.14,1.19,1.96
2024-04-01,3.36,0.48,-0.27,1.2,1.92
2024-05-01,3.27,0.54,-0.37,1.19,1.88
2024-06-01,2.97,0.37,-0.39,1.16,1.79
2024-07-01,2.89,0.37,-0.4,1.12,1.76
2024-08-01,2.53,-0.01,-0.39,1.06,1.82
2024-09-01,2.44,-0.19,-0.2,1.09,1.69
2024-10-01,2.6,-0.05,-0.21,1.09,1.71
2024-11-01,2.75,0.1,-0.12,1.03,1.66
2024-12-01,2.89,0.3,-0.1,1.03,1.66
2025-01-01,3,0.4,-0.03,1.03,1.6
2025-02-01,2.82,0.34,-0.02,0.97,1.54
2025-03-01,2.39,0.17,-0.02,0.8,1.44
2025-04-01,2.31,0.11,0.02,0.75,1.44
