date,A124RC,GOODS,SERVICES,INCOME,TRANSFERS
2011-10-01,-2.83,-5.06,1.25,1.66,-1.41
2012-01-01,-2.98,-5.11,1.27,1.55,-1.36
2012-04-01,-2.85,-4.89,1.29,1.41,-1.36
2012-07-01,-2.56,-4.61,1.28,1.41,-1.39
2012-10-01,-2.51,-4.66,1.37,1.37,-1.36
2013-01-01,-2.4,-4.58,1.47,1.29,-1.35
2013-04-01,-2.32,-4.52,1.46,1.37,-1.37
2013-07-01,-2.15,-4.42,1.47,1.43,-1.42
2013-10-01,-1.73,-4.06,1.48,1.4,-1.37
2014-01-01,-2.1,-4.52,1.56,1.42,-1.39
2014-04-01,-1.94,-4.47,1.56,1.35,-1.4
2014-07-01,-1.97,-4.29,1.51,1.46,-1.4
2014-10-01,-2.33,-4.45,1.51,1.27,-1.41
2015-01-01,-2.33,-4.48,1.55,1.24,-1.39
2015-04-01,-2.21,-4.28,1.49,1.16,-1.37
2015-07-01,-2.49,-4.39,1.43,1.16,-1.41
2015-10-01,-2.26,-4.25,1.39,1.27,-1.4
2016-01-01,-2.32,-4.15,1.37,1.16,-1.46
2016-04-01,-2.12,-4.07,1.43,1.17,-1.42
2016-07-01,-2.15,-4.11,1.46,1.18,-1.46
2016-10-01,-2.11,-4.26,1.39,1.44,-1.47
2017-01-01,-1.91,-4.27,1.44,1.44,-1.44
2017-04-01,-2.23,-4.32,1.43,1.38,-1.5
2017-07-01,-1.88,-4.17,1.4,1.54,-1.55
2017-10-01,-1.99,-4.34,1.45,1.62,-1.47
2018-01-01,-2.01,-4.44,1.52,1.55,-1.37
2018-04-01,-1.93,-4.08,1.41,1.42,-1.41
2018-07-01,-2.54,-4.51,1.4,1.25,-1.43
2018-10-01,-2.58,-4.47,1.34,1.3,-1.47
2019-01-01,-2.52,-4.22,1.3,1.17,-1.46
2019-04-01,-2.51,-4.34,1.32,1.27,-1.44
2019-07-01,-2.36,-4.22,1.28,1.3,-1.44
2019-10-01,-2.0,-3.82,1.3,1.29,-1.42
2020-01-01,-1.96,-3.61,1.32,1.13,-1.47
2020-04-01,-2.9,-4.06,1.27,0.78,-1.6
2020-07-01,-3.31,-4.57,1.1,1.0,-1.51
