date,value_index,value,hours,output,hours_index,output_index,business_ulc,manuf_ulc,nfbus_ulc
2020-10-01,110.598,-3.2,9.0,5.6,96.832,107.095,107.591,114.118,107.625
2021-01-01,111.418,3.0,4.1,7.2,97.816,108.985,106.88,114.406,106.945
2021-04-01,111.595,0.6,7.5,8.2,99.603,111.152,108.402,114.324,108.461
2021-07-01,110.997,-2.1,5.8,3.6,101.02,112.129,110.491,114.372,110.541
2021-10-01,111.648,2.4,6.1,8.6,102.515,114.456,111.451,116.879,111.501
2022-01-01,110.202,-5.1,3.0,-2.2,103.278,113.815,113.446,118.357,113.458
2022-04-01,109.361,-3.0,3.0,-0.1,104.055,113.796,114.476,118.89,114.437
2022-07-01,109.443,0.3,2.6,2.9,104.728,114.617,116.434,122.152,116.399
2022-10-01,110.012,2.1,1.0,3.1,104.978,115.488,115.953,122.949,115.897
2023-01-01,110.309,1.1,1.8,2.9,105.437,116.306,116.573,123.65,116.553
2023-04-01,111.38,3.9,-1.0,2.9,105.182,117.151,117.299,124.999,117.242
2023-07-01,112.802,5.2,0.2,5.5,105.247,118.721,117.665,127.14,117.547
2023-10-01,113.857,3.8,-0.1,3.7,105.221,119.801,118.094,128.494,117.946
2024-01-01,114.006,0.5,-0.3,0.2,105.137,119.862,119.584,129.884,119.525
2024-04-01,114.855,3.0,0.9,4.0,105.383,121.038,119.821,131.202,119.815
2024-07-01,115.74,3.1,0.7,3.9,105.573,122.19,120.159,132.969,120.137
2024-10-01,115.993,0.9,0.8,1.7,105.792,122.712,121.017,133.804,120.981
2025-01-01,115.384,-2.1,1.2,-0.9,106.112,122.436,123.236,133.802,123.13
2025-04-01,116.554,4.1,1.0,5.2,106.383,123.993,122.338,134.162,122.23
2025-07-01,117.962,4.9,0.5,5.4,106.503,125.633,121.706,134.531,121.641
