date,A019RY,A253RY,A646RY,A255RY,A656RY
1999-01-01,-1.5,-0.49,0.35,-1.26,-0.1
1999-04-01,-0.92,0.42,0.08,-1.38,-0.04
1999-07-01,-0.61,0.8,0.44,-1.63,-0.21
1999-10-01,-0.45,0.9,0.0,-1.17,-0.18
2000-01-01,-1.46,0.58,0.02,-1.76,-0.3
2000-04-01,-0.47,0.89,0.42,-1.38,-0.4
2000-07-01,-1.02,1.15,-0.12,-1.7,-0.35
2000-10-01,-0.51,-0.49,0.06,-0.1,0.01
2001-01-01,0.23,-0.43,-0.09,0.81,-0.06
2001-04-01,0.59,-1.25,0.04,1.89,-0.09
2001-07-01,-0.85,-1.6,-0.44,0.86,0.33
2001-10-01,-0.81,-0.61,-0.7,0.29,0.21
2002-01-01,-0.67,0.02,0.75,-0.75,-0.68
2002-04-01,-0.66,0.84,0.22,-1.85,0.13
2002-07-01,-0.57,0.15,-0.05,-0.83,0.16
2002-10-01,-1.5,-0.65,0.09,-0.57,-0.38
2003-01-01,0.15,0.3,-0.42,0.08,0.19
2003-04-01,-0.71,0.02,0.04,-1.16,0.38
2003-07-01,0.16,0.59,0.39,-0.3,-0.52
2003-10-01,-0.09,1.15,0.47,-1.45,-0.25
2004-01-01,-0.73,0.46,0.38,-1.35,-0.22
2004-04-01,-1.46,0.5,0.3,-2.0,-0.26
2004-07-01,-0.69,0.32,-0.19,-0.67,-0.15
2004-10-01,-0.48,0.48,0.44,-1.26,-0.13
2005-01-01,0.22,0.52,0.22,-0.58,0.06
2005-04-01,0.07,0.87,0.01,-0.73,-0.08
2005-07-01,-0.34,0.03,-0.04,-0.21,-0.13
2005-10-01,-0.78,0.83,0.39,-1.79,-0.21
2006-01-01,0.36,1.28,0.37,-0.79,-0.5
2006-04-01,0.15,0.52,0.26,-0.6,-0.03
2006-07-01,-0.69,0.12,-0.16,-0.71,0.07
2006-10-01,1.74,0.92,0.71,0.44,-0.34
2007-01-01,-0.05,0.32,0.56,-0.7,-0.23
2007-04-01,0.34,0.44,0.24,-0.23,-0.11
2007-07-01,1.04,0.86,0.55,-0.2,-0.17
2007-10-01,1.69,0.68,0.37,0.56,0.08
2008-01-01,0.47,0.6,0.12,0.04,-0.29
2008-04-01,2.11,1.18,0.26,0.49,0.18
2008-07-01,0.67,0.02,-0.25,1.12,-0.22
2008-10-01,-0.37,-2.76,-0.11,2.81,-0.3
2009-01-01,2.25,-3.22,-0.37,5.53,0.31
2009-04-01,2.5,-0.14,0.44,2.18,0.02
2009-07-01,-0.59,1.4,0.2,-2.07,-0.11
2009-10-01,-0.29,2.07,0.39,-2.56,-0.19
2010-01-01,-0.45,0.93,0.12,-1.47,-0.04
2010-04-01,-1.73,0.95,0.11,-2.72,-0.07
2010-07-01,-0.81,0.79,0.6,-1.93,-0.27
2010-10-01,1.12,0.99,0.37,-0.28,0.04
2011-01-01,0.11,0.37,0.06,-0.54,0.21
2011-04-01,0.65,0.56,0.35,0.01,-0.27
2011-07-01,-0.01,0.35,0.4,-0.58,-0.18
2011-10-01,-0.46,0.83,-0.4,-0.96,0.07
2012-01-01,0.36,0.2,0.48,-0.28,-0.03
2012-04-01,0.3,0.46,0.08,-0.18,-0.06
2012-07-01,-0.03,0.22,0.11,-0.35,-0.01
2012-10-01,0.68,-0.39,0.44,0.54,0.1
2013-01-01,0.33,0.24,0.04,-0.28,0.33
2013-04-01,-0.48,0.56,-0.08,-0.9,-0.06
2013-07-01,-0.01,0.19,0.26,-0.46,-0.01
2013-10-01,1.04,1.4,0.14,-0.36,-0.14
2014-01-01,-1.36,-0.67,0.13,-0.65,-0.18
2014-04-01,-0.3,0.97,0.21,-1.5,0.03
2014-07-01,0.12,0.38,-0.14,-0.12,0.01
2014-10-01,-1.23,0.31,0.14,-1.35,-0.34
2015-01-01,-1.34,-0.66,0.26,-1.14,0.2
2015-04-01,-0.34,0.22,-0.08,-0.38,-0.1
2015-07-01,-0.82,-0.34,-0.07,-0.24,-0.17
2015-10-01,-0.24,-0.2,0.12,0.11,-0.27
2016-01-01,-0.06,0.14,-0.29,0.02,0.07
2016-04-01,0.3,-0.01,0.37,-0.02,-0.04
2016-07-01,0.37,0.56,0.22,-0.23,-0.18
2016-10-01,-1.17,0.04,-0.39,-0.96,0.14
2017-01-01,0.28,0.7,0.48,-0.58,-0.32
2017-04-01,-0.38,-0.07,0.25,-0.37,-0.19
2017-07-01,0.08,0.15,0.15,0.16,-0.38
2017-10-01,-0.38,1.16,0.12,-1.78,0.12
2018-01-01,0.07,0.16,0.17,-0.51,0.25
2018-04-01,0.19,0.71,-0.44,-0.11,0.03
2018-07-01,-1.47,-0.66,0.04,-0.87,0.03
2018-10-01,-0.43,0.29,-0.1,-0.34,-0.29
2019-01-01,0.37,0.35,0.15,0.13,-0.26
2019-04-01,-0.39,-0.68,0.35,-0.06,-0.01
2019-07-01,0.29,0.26,-0.15,0.17,0.03
2019-10-01,1.31,0.13,0.08,1.07,0.03
2020-01-01,0.09,-0.27,-1.53,1.1,0.79
2020-04-01,1.0,-6.58,-2.2,7.07,2.71
2020-07-01,-2.58,4.9,0.16,-7.21,-0.44
2020-10-01,-1.44,1.65,0.65,-3.06,-0.68
2021-01-01,-1.04,-0.02,0.08,-1.02,-0.08
2021-04-01,-0.87,-0.03,0.24,-0.51,-0.56
2021-07-01,-1.03,-0.13,0.29,-0.2,-0.99
2021-10-01,-0.34,1.83,0.59,-2.38,-0.38
2022-01-01,-2.59,-0.69,0.18,-1.72,-0.36
2022-04-01,0.56,0.73,0.46,-0.28,-0.35
2022-07-01,2.58,1.63,0.17,0.98,-0.21
2022-10-01,0.26,-0.52,0.11,0.55,0.11
2023-01-01,0.58,0.89,-0.13,-0.22,0.04
2023-04-01,0.04,-1.31,0.22,0.78,0.35
2023-07-01,0.03,0.55,0.04,-0.64,0.08
2023-10-01,0.25,0.45,0.1,-0.14,-0.15
2024-01-01,-0.65,-0.04,0.21,-0.71,-0.11
2024-04-01,-0.72,0.12,0.1,-0.84,-0.09
