industry_code	naics_code	publishing_status	industry_name	display_level	selectable	sort_sequence
31334600	3343,6	C	Manufacturing and reproducing magnetic and optical media and audio and video equipment manufacturing	5	T	162
31335000	335	AO	Electrical equipment, appliance, and component manufacturing	4	T	163
31335100	3351	C	Electric lighting equipment manufacturing	5	T	164
31335200	3352	C	Household appliance manufacturing	5	T	165
31335300	3353	AO	Electrical equipment manufacturing	5	T	166
31335311	335311	C	Power, distribution, and specialty transformer manufacturing	7	T	167
31335314	335312,3,4	C	Motor, generator, switchgear and switchboard apparatus, and relay and industrial control manufacturing	7	T	168
31335900	3359	AO	Other electrical equipment and component manufacturing	5	T	169
31335910	33591	C	Battery manufacturing	6	T	170
31335930	33593	C	Wiring device manufacturing	6	T	171
31335990	33592,9	C	Communication and energy wire and cable and all other electrical equipment and component manufacturing	6	T	172
31336000	336	AO	Transportation equipment manufacturing	4	T	173
31336001	3361,2,3	AO	Motor vehicles and parts	5	T	174
31336100	3361	AO	Motor vehicle manufacturing	5	T	175
31336200	3362	AO	Motor vehicle body and trailer manufacturing	5	T	176
31336211	336211	C	Motor vehicle body manufacturing	7	T	177
31336214	336212,3,4	C	Truck trailer, motor home, travel trailer, and camper manufacturing	7	T	178
31336300	3363	AO	Motor vehicle parts manufacturing	5	T	179
31336310	33631	C	Motor vehicle gasoline engine and engine parts manufacturing	6	T	180
31336320	33632	ET	Motor vehicle electrical and electronic equipment manufacturing	6	T	181
31336330	33633	C	Motor vehicle steering and suspension components, except spring, manufacturing	6	T	182
31336350	33635	C	Motor vehicle transmission and power train parts manufacturing	6	T	183
31336370	33637	C	Motor vehicle metal stamping	6	T	184
31336390	33634,6,9	C	Motor vehicle brake system, seating, interior trim, and other motor vehicle parts manufacturing	6	T	185
31336400	3364	AO	Aerospace product and parts manufacturing	5	T	186
31336411	336411	D	Aircraft manufacturing	7	T	187
31336412	336412	C	Aircraft engine and engine parts manufacturing	7	T	188
31336413	336413	C	Other aircraft parts and auxiliary equipment manufacturing	7	T	189
31336419	336414,5,9	C	Guided missile; space vehicle; and guided missile and space vehicle propulsion unit, parts, and auxiliary equipment manufacturing	7	T	190
31336600	3366	C	Ship and boat building	5	T	191
31336611	336611	C	Ship building and repairing	7	T	192
31336612	336612	C	Boat building	7	T	193
31336900	3365,9	C	Railroad rolling stock and other transportation equipment manufacturing	5	T	194
31337000	337	AO	Furniture and related product manufacturing	4	T	195
31337100	3371	AO	Household and institutional furniture and kitchen cabinet manufacturing	5	T	196
31337110	33711	AO	Wood kitchen cabinet and countertop manufacturing	6	T	197
31337120	33712	AO	Household and institutional furniture manufacturing	6	T	198
31337121	337121	C	Upholstered household furniture manufacturing	7	T	199
31337127	337122,6,7	C	Nonupholstered household furniture and institutional furniture manufacturing	7	T	200
31337200	3372	C	Office furniture (including fixtures) and other furniture related product manufacturing	5	T	201
31337214	337211,2,4	C	Office furniture and custom architectural woodwork and millwork manufacturing	7	T	202
31337215	337215	C	Showcase, partition, shelving, locker, and other furniture related product manufacturing	7	T	203
31339000	339	AO	Miscellaneous manufacturing	4	T	204
31339100	3391	AO	Medical equipment and supplies manufacturing	5	T	205
31339112	339112	C	Surgical and medical instrument manufacturing	7	T	206
31339113	339113	E	Surgical appliance and supplies manufacturing	7	T	207
31339116	339116	C	Dental laboratories	7	T	208
31339900	3399	AO	Other miscellaneous manufacturing	5	T	209
31339910	33991	C	Jewelry and silverware manufacturing	6	T	210
31339920	33992	C	Sporting and athletic goods manufacturing	6	T	211
31339950	33995	AO	Sign manufacturing	6	T	212
31339990	33993,4,9	AO	Doll, toy, game, office supplies (except paper), and all other miscellaneous manufacturing	6	T	213
32000000	-	AO	Nondurable goods	3	T	214
32311000	311	AO	Food manufacturing	4	T	215
32311100	3111	C	Animal food manufacturing	5	T	216
32311200	3112	C	Grain and oilseed milling	5	T	217
32311220	31121,2	C	Flour milling, malt, starch, and vegetable fats and oils manufacturing	6	T	218
32311230	31123	C	Breakfast cereal manufacturing	6	T	219
32311300	3113	E	Sugar and confectionery product manufacturing	5	T	220
32311350	31135	C	Chocolate and confectionery manufacturing	6	T	221
32311400	3114	AO	Fruit and vegetable preserving and specialty food manufacturing	5	T	222
32311410	31141	ET	Frozen food manufacturing	6	T	223
32311411	311411	C	Frozen fruit, juice, and vegetable manufacturing	7	T	224
32311412	311412	C	Frozen specialty food manufacturing	7	T	225
32311420	31142	ET	Fruit and vegetable canning, pickling, and drying	6	T	226
32311500	3115	AO	Dairy product manufacturing	5	T	227
32311511	311511	C	Fluid milk manufacturing	7	T	228
32311600	3116	AO	Animal slaughtering and processing	5	T	229
32311611	311611	C	Animal, except poultry, slaughtering	7	T	230
32311613	311612,3	C	Meat processed from carcasses, rendering, and meat byproduct processing	7	T	231
32311615	311615	AO	Poultry processing	7	T	232
32311700	3117	E	Seafood product preparation and packaging	5	T	233
32311800	3118	AO	Bakeries and tortilla manufacturing	5	T	234
32311810	31181	E	Bread and bakery product manufacturing	6	T	235
32311811	311811	E	Retail bakeries	7	T	236
32311813	311812,3	E	Commercial bakeries and frozen cakes, pies, and other pastries manufacturing	7	T	237
32311830	31182,3	E	Cookie, cracker, pasta, and tortilla manufacturing	6	T	238
32311900	3119	ET	Other food manufacturing	5	T	239
32311910	31191	C	Snack food manufacturing	6	T	240
32311990	31192,3,4,9	C	Coffee, tea, flavoring syrup and concentrate, seasoning, dressing, and other food manufacturing	6	T	241
32313000	313	AT	Textile mills	4	T	242
32313200	3132	C	Fabric mills	5	T	243
32314000	314	AO	Textile product mills	4	T	244
32314100	3141	C	Textile furnishings mills	5	T	245
32314900	3149	C	Other textile product mills	5	T	246
32314910	31491	C	Textile bag and canvas mills	6	T	247
32314990	31499	C	All other textile product mills	6	T	248
32315000	315	AO	Apparel manufacturing	4	T	249
32315250	31525	C	Cut and sew apparel manufacturing (except contractors)	6	T	250
32322000	322	AO	Paper manufacturing	4	T	251
32322100	3221	C	Pulp, paper, and paperboard mills	5	T	252
32322200	3222	C	Converted paper product manufacturing	5	T	253
32322210	32221	AT	Paperboard container manufacturing	6	T	254
32322220	32222	C	Paper bag and coated and treated paper manufacturing	6	T	255
32322290	32223,9	C	Stationery and other converted paper products	6	T	256
32323000	323	AO	Printing and related support activities	4	T	257
32323117	323111,7	C	Commercial and book printing (except screen)	7	T	258
32324000	324	B	Petroleum and coal products manufacturing	4	T	259
32324110	32411	C	Petroleum refineries	6	T	260
32324190	32412,9	C	Asphalt paving, roofing, saturated materials, and other petroleum and coal products manufacturing	6	T	261
32325000	325	AO	Chemical manufacturing	4	T	262
32325100	3251	AO	Basic chemical manufacturing	5	T	263
32325130	32511,2,3	C	Petrochemical, industrial gas, synthetic dye, and pigment manufacturing	6	T	264
32325180	32518	C	Other basic inorganic chemical manufacturing	6	T	265
32325190	32519	C	Other basic organic chemical manufacturing	6	T	266
32325200	3252	B	Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing	5	T	267
32325211	325211	C	Plastics material and resin manufacturing	7	T	268
32325300	3253	C	Pesticide, fertilizer, and other agricultural chemical manufacturing	5	T	269
32325400	3254	AO	Pharmaceutical and medicine manufacturing	5	T	270
32325412	325412	C	Pharmaceutical preparation manufacturing	7	T	271
32325414	325411,3,4	C	Medicinal, botanical, in-vitro diagnostic substance, and biological product manufacturing	7	T	272
32325500	3255	C	Paint, coating, and adhesive manufacturing	5	T	273
32325600	3256	AO	Soap, cleaning compound, and toilet preparation manufacturing	5	T	274
32325610	32561	C	Soap and cleaning compound manufacturing	6	T	275
32325620	32562	C	Toilet preparation manufacturing	6	T	276
32325900	3259	E	Other chemical product and preparation manufacturing	5	T	277
32326000	326	AO	Plastics and rubber products manufacturing	4	T	278
32326100	3261	AT	Plastics product manufacturing	5	T	279
32326110	32611	C	Plastics packaging materials and unlaminated film and sheet manufacturing	6	T	280
32326113	326113	C	Unlaminated plastics film and sheet, except packaging, manufacturing	7	T	281
32326120	32612	C	Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing	6	T	282
32326150	32614,5	AT	Polystyrene, urethane, and other foam product manufacturing	6	T	283
32326160	32613,6	C	Laminated plastics plate, sheet (except packaging), shape, and plastics bottle manufacturing	6	T	284
32326190	32619	AT	Other plastics product manufacturing	6	T	285
32326200	3262	AT	Rubber product manufacturing	5	T	286
32326210	32621	C	Tire manufacturing	6	T	287
32326290	32622,9	C	Rubber and plastics hoses, belting, and other rubber product manufacturing	6	T	288
32329000	312,6	B	Beverage, tobacco, and leather and allied product manufacturing	4	T	289
32329100	3121	C	Beverage manufacturing	5	T	290
32329110	31211	C	Soft drinks and ice	6	T	291
32329111	312111	C	Soft drinks	7	T	292
32329140	31212,3,4	C	Breweries, wineries, and distilleries	6	T	293
32329900	3122,60	C	Other miscellaneous nondurable goods manufacturing	5	T	294
40000000	-	A	Trade, transportation, and utilities	2	T	295
41420000	42	A	Wholesale trade	3	T	296
41423000	423	A	Merchant wholesalers, durable goods	4	T	297
41423100	4231	A	Motor vehicle and motor vehicle parts and supplies merchant wholesalers	5	T	298
41423110	42311	A	Automobile and other motor vehicle merchant wholesalers	6	T	299
41423120	42312	A	Motor vehicle supplies and new parts merchant wholesalers	6	T	300
41423200	4232	A	Furniture and home furnishing merchant wholesalers	5	T	301
41423210	42321	C	Furniture merchant wholesalers	6	T	302
41423220	42322	C	Home furnishing merchant wholesalers	6	T	303
41423300	4233	A	Lumber and other construction materials merchant wholesalers	5	T	304
41423310	42331	A	Lumber, plywood, millwork, and wood panel merchant wholesalers	6	T	305
41423320	42332	E	Brick, stone, and related construction material merchant wholesalers	6	T	306
41423390	42333,9	E	Roofing, siding, insulation, and other construction material merchant wholesalers	6	T	307
41423400	4234	A	Professional and commercial equipment and supplies merchant wholesalers	5	T	308
41423420	42342	E	Office equipment merchant wholesalers	6	T	309
41423430	42343	A	Computer and computer peripheral equipment and software merchant wholesalers	6	T	310
41423450	42345	A	Medical, dental, and hospital equipment and supplies merchant wholesalers	6	T	311
41423490	42341,4,6,9	E	Ophthalmic goods and photographic, commercial, and professional equipment and supplies merchant wholesalers	6	T	312
41423500	4235	A	Metal and mineral (except petroleum) merchant wholesalers	5	T	313
41423600	4236	A	Household appliances and electrical and electronic goods merchant wholesalers	5	T	314
41423610	42361	A	Electrical apparatus and equipment, wiring supplies, and related equipment merchant wholesalers	6	T	315
41423690	42362,9	A	Household appliances, electric housewares, consumer electronics, and other electronic parts and equipment merchant wholesalers	6	T	316
41423700	4237	A	Hardware, and plumbing and heating equipment and supplies merchant wholesalers	5	T	317
41423710	42371	A	Hardware merchant wholesalers	6	T	318
41423720	42372	A	Plumbing, heating, and hydronics equipment and supplies merchant wholesalers	6	T	319
41423740	42373,4	A	Warm air heating, air-conditioning, and refrigeration equipment and supplies merchant wholesalers	6	T	320
41423800	4238	A	Machinery, equipment, and supplies merchant wholesalers	5	T	321
41423810	42381	A	Construction and mining (except oil well) machinery and equipment merchant wholesalers	6	T	322
41423820	42382	A	Farm and garden machinery and equipment merchant wholesalers	6	T	323
41423830	42383	A	Industrial machinery and equipment merchant wholesalers	6	T	324
41423840	42384	A	Industrial supplies merchant wholesalers	6	T	325
41423850	42385	G	Service establishment equipment and supplies merchant wholesalers	6	T	326
41423860	42386	G	Transportation equipment and supplies (except motor vehicle) merchant wholesalers	6	T	327
41423900	4239	A	Miscellaneous durable goods merchant wholesalers	5	T	328
41423910	42391	A	Sporting and recreational goods and supplies merchant wholesalers	6	T	329
41423930	42393	A	Recyclable material merchant wholesalers	6	T	330
41423940	42394	E	Jewelry, watch, precious stone, and precious metal merchant wholesalers	6	T	331
41423990	42392,9	E	Toy and hobby goods and supplies and other miscellaneous durable goods merchant wholesalers	6	T	332
41424000	424	A	Merchant wholesalers, nondurable goods	4	T	333
41424100	4241	A	Paper and paper product merchant wholesalers	5	T	334
41424120	42411,2	B	Printing and writing paper, stationery, and office supplies merchant wholesalers	6	T	335
41424130	42413	B	Industrial and personal service paper merchant wholesalers	6	T	336
41424200	4242	A	Drugs and druggists' sundries merchant wholesalers	5	T	337
41424300	4243	A	Apparel, piece goods, and notions merchant wholesalers	5	T	338
41424350	42435	A	Clothing and clothing accessories merchant wholesalers	6	T	339
41424400	4244	A	Grocery and related product merchant wholesalers	5	T	340
41424410	42441	A	General line grocery merchant wholesalers	6	T	341
41424480	42448	A	Fresh fruit and vegetable merchant wholesalers	6	T	342
41424500	4245	A	Farm product raw material merchant wholesalers	5	T	343
41424510	42451	E	Grain and field bean merchant wholesalers	6	T	344
41424600	4246	A	Chemical and allied products merchant wholesalers	5	T	345
41424700	4247	A	Petroleum and petroleum products merchant wholesalers	5	T	346
41424800	4248	A	Beer, wine, and distilled alcoholic beverage merchant wholesalers	5	T	347
41424810	42481	C	Beer and ale merchant wholesalers	6	T	348
41424820	42482	C	Wine and distilled alcoholic beverage merchant wholesalers	6	T	349
41424900	4249	A	Miscellaneous nondurable goods merchant wholesalers	5	T	350
41424910	42491	A	Farm supplies merchant wholesalers	6	T	351
41424930	42493	E	Flower, nursery stock, and florists' supplies merchant wholesalers	6	T	352
41424990	42492,4,5,9	C	All other nondurable goods merchant wholesalers	6	T	353
41425000	425	A	Wholesale trade agents and brokers	4	T	354
42000000	-	A	Retail trade	3	T	355
42441000	441	A	Motor vehicle and parts dealers	4	T	356
42441100	4411	A	Automobile dealers	5	T	357
42441110	44111	A	New car dealers	6	T	358
42441120	44112	A	Used car dealers	6	T	359
42441200	4412	A	Other motor vehicle dealers	5	T	360
42441210	44121	C	Recreational vehicle dealers	6	T	361
42441220	44122	C	Motorcycle, boat, and other motor vehicle dealers	6	T	362
42441300	4413	A	Automotive parts, accessories, and tire retailers	5	T	363
42441330	44133	A	Automotive parts and accessories retailers	6	T	364
42441340	44134	A	Tire dealers	6	T	365
42444000	444	A	Building material and garden equipment and supplies dealers	4	T	366
42444100	4441	A	Building material and supplies dealers	5	T	367
42444140	44414	A	Hardware retailers	6	T	368
42444180	44411,2,8	A	Home centers, paint, wallpaper, and other building material dealers	6	T	369
42444200	4442	A	Lawn and garden equipment and supplies retailers	5	T	370
42444230	44423	E	Outdoor power equipment retailers	6	T	371
42444240	44424	E	Nursery, garden center, and farm supply retailers	6	T	372
42445000	445	A	Food and beverage retailers	4	T	373
42445100	4451	A	Grocery and convenience retailers	5	T	374
42445110	44511	A	Supermarkets and other grocery retailers (except convenience retailers)	6	T	375
42445130	44513	A	Convenience retailers and vending machine operators	6	T	376
42445131	445131	B	Convenience retailers	7	T	377
42445132	445132	B	Vending machine operators	7	T	378
42445200	4452	A	Specialty food retailers	5	T	379
42445230	44523	C	Fruit and vegetable retailers	6	T	380
42445250	44524,5	A	Meat, fish, and seafood retailers	6	T	381
42445290	44529	C	Other specialty food retailers	6	T	382
42445300	4453	A	Beer, wine, and liquor retailers	5	T	383
42449000	449	A	Furniture, home furnishings, electronics, and appliance retailers	4	T	384
42449100	4491	A	Furniture and home furnishings retailers	5	T	385
42449110	44911	A	Furniture retailers	6	T	386
42449120	44912	A	Home furnishings retailers	6	T	387
42449121	449121	A	Floor covering retailers	7	T	388
42449129	449122,9	A	Window treatment and all other home furnishings retailers	7	T	389
42449200	4492	A	Electronics and appliance retailers	5	T	390
42455000	455	A	General merchandise retailers	4	T	391
42455100	4551	C	Department stores	5	T	392
42455200	4552	C	Warehouse clubs, supercenters, and other general merchandise retailers	5	T	393
42455211	455211	C	Warehouse clubs and supercenters	7	T	394
42455219	455219	C	All other general merchandise retailers	7	T	395
42456000	456	A	Health and personal care retailers	4	T	396
42456110	45611	A	Pharmacies and drug retailers	6	T	397
42456120	45612	A	Cosmetics, beauty supplies, and perfume retailers	6	T	398
42456130	45613	E	Optical goods retailers	6	T	399
42456190	45619	E	Other health and personal care retailers	6	T	400
42456191	456191	C	Food (health) supplement retailers	7	T	401
42456199	456199	C	All other health and personal care retailers	7	T	402
42457000	457	A	Gasoline stations and fuel dealers	4	T	403
42457100	4571	A	Gasoline stations	5	T	404
42457110	45711	A	Gasoline stations with convenience stores	6	T	405
42457120	45712	A	Other gasoline stations	6	T	406
42457200	4572	A	Fuel dealers	5	T	407
42458000	458	A	Clothing, clothing accessories, shoe, and jewelry retailers	4	T	408
42458100	4581	A	Clothing and clothing accessories retailers	5	T	409
42458200	4582	A	Shoe retailers	5	T	410
42458300	4583	A	Jewelry, luggage, and leather goods retailers	5	T	411
42459000	459	A	Sporting goods, hobby, musical instrument, book, and miscellaneous retailers	4	T	412
42459100	4591	A	Sporting goods, hobby, and musical instrument retailers	5	T	413
42459110	45911	A	Sporting goods retailers	6	T	414
42459120	45912	E	Hobby, toy, and game retailers	6	T	415
42459130	45913	C	Sewing, needlework, and piece goods retailers	6	T	416
42459140	45914	C	Musical instrument and supplies retailers	6	T	417
42459200	4592	A	Book retailers and news dealers	5	T	418
42459300	4593	A	Florists	5	T	419
42459400	4594	A	Office supplies, stationery, and gift retailers	5	T	420
42459410	45941	A	Office supplies and stationery retailers	6	T	421
42459420	45942	A	Gift, novelty, and souvenir retailers	6	T	422
42459500	4595	A	Used merchandise retailers	5	T	423
42459900	4599	A	Other miscellaneous retailers	5	T	424
42459910	45991	A	Pet and pet supplies retailers	6	T	425
42459920	45992	C	Art dealers	6	T	426
42459990	45993,9	C	Manufactured (mobile) home dealers and all other miscellaneous retailers	6	T	427
42459991	459991	A	Tobacco, electronic cigarette, and other smoking supplies retailers	7	T	428
43000000	-	A	Transportation and warehousing	3	T	429
43481000	481	A	Air transportation	4	T	430
43481100	4811	C	Scheduled air transportation	5	T	431
43481200	4812	C	Nonscheduled air transportation	5	T	432
43482000	482	C	Rail transportation	4	T	433
43483000	483	B	Water transportation	4	T	434
43484000	484	A	Truck transportation	4	T	435
43484100	4841	A	General freight trucking	5	T	436
