date,Total,White,Black,Other,Hispanic
2005-04-01,68.6,75.6,48.0,58,49.2
2005-07-01,68.8,75.7,48.1,59.9,49.1
2005-10-01,69.0,76.0,48.0,60.1,50.0
2006-01-01,68.5,75.5,47.3,59.6,49.4
2006-04-01,68.7,75.9,47.2,59.3,50.0
2006-07-01,69.0,76.0,48.6,60.6,49.7
2006-10-01,68.9,76.0,48.2,60,49.5
2007-01-01,68.4,75.3,48.0,58.6,50.1
2007-04-01,68.2,75.4,46.3,59.4,50.0
2007-07-01,68.2,75.3,46.7,60.1,50.1
2007-10-01,67.8,74.9,47.7,58.6,48.5
2008-01-01,67.8,75.0,47.1,58.1,48.9
2008-04-01,68.1,75.2,47.8,58.4,49.6
2008-07-01,67.9,75.1,47.8,59,49.5
2008-10-01,67.5,74.8,46.8,58.3,48.6
2009-01-01,67.3,74.7,46.1,57.4,48.6
2009-04-01,67.4,74.9,46.5,57.6,48.1
2009-07-01,67.6,75.0,46.4,57.8,48.7
2009-10-01,67.2,74.5,46.0,58.4,48.4
2010-01-01,67.1,74.5,45.6,57.2,48.5
2010-04-01,66.9,74.4,46.2,55.7,47.8
2010-07-01,66.9,74.7,45.0,57.3,47.0
2010-10-01,66.5,74.2,44.9,57.7,46.8
2011-01-01,66.4,74.1,44.8,56.7,46.8
2011-04-01,65.9,73.7,44.2,56,46.6
2011-07-01,66.3,73.8,45.6,56.4,47.6
2011-10-01,66.0,73.7,45.1,56.5,46.6
2012-01-01,65.4,73.5,43.1,55.1,46.3
2012-04-01,65.5,73.5,43.8,55,46.5
2012-07-01,65.5,73.6,44.1,54.6,46.7
2012-10-01,65.4,73.6,44.5,55.2,45.0
2013-01-01,65.0,73.4,43.1,54.6,45.3
2013-04-01,65.0,73.3,42.9,54.5,45.9
2013-07-01,65.3,73.3,43.1,55.2,47.6
2013-10-01,65.2,73.4,43.2,56,45.5
2014-01-01,64.8,72.9,43.3,55.8,45.8
2014-04-01,64.7,72.9,43.5,54.7,45.8
2014-07-01,64.4,72.6,42.9,54.2,45.6
2014-10-01,64.0,72.3,42.1,55.3,44.5
2015-01-01,63.7,72.0,41.9,55.4,44.1
2015-04-01,63.4,71.6,43.0,52.6,45.4
2015-07-01,63.7,71.9,42.4,53.7,46.1
2015-10-01,63.8,72.2,41.9,53.3,46.7
2016-01-01,63.5,72.1,41.5,53,45.3
2016-04-01,62.9,71.5,41.7,51.2,45.1
2016-07-01,63.5,71.9,41.3,53.3,47.0
2016-10-01,63.7,72.2,41.7,53.7,46.3
2017-01-01,63.6,71.8,42.7,53.6,46.6
2017-04-01,63.7,72.2,42.3,54.3,45.5
2017-07-01,63.9,72.5,42.0,54.7,46.1
2017-10-01,64.2,72.7,42.1,55.4,46.6
2018-01-01,64.2,72.4,42.2,54.8,48.4
2018-04-01,64.3,72.9,41.6,55.7,46.6
2018-07-01,64.4,73.1,41.7,56.6,46.3
2018-10-01,64.8,73.6,42.9,55.6,46.9
2019-01-01,64.2,73.2,41.1,53.9,47.4
2019-04-01,64.1,73.1,40.6,55,46.6
2019-07-01,64.8,73.4,42.7,56,47.8
2019-10-01,65.1,73.7,44.0,55.7,48.1
2020-01-01,65.3,73.7,44.0,56,48.9
2020-04-01,67.9,76.0,47.0,59.3,51.4
2020-07-01,67.4,75.8,46.4,58,50.9
2020-10-01,65.8,74.5,44.1,56.3,49.1
2021-01-01,65.6,73.8,45.1,57.1,49.3
2021-04-01,65.4,74.2,44.6,56.2,47.5
2021-07-01,65.4,74.0,44.0,57.2,48.3
2021-10-01,65.5,74.4,43.1,57.6,48.4
2022-01-01,65.4,74.0,44.7,56,49.1
2022-04-01,65.8,74.6,45.3,57.3,48.3
2022-07-01,66.0,74.6,45.2,58.5,48.7
2022-10-01,65.9,74.5,44.9,58.7,48.5
2023-01-01,66.0,74.4,45.8,58.2,49.7
2023-04-01,65.9,74.5,45.7,58,49.0
2023-07-01,66.0,74.5,45.5,58.1,49.4
2023-10-01,65.7,73.8,45.9,58.4,49.8
2024-01-01,65.6,74.0,45.7,57.5,49.9
2024-04-01,65.6,74.4,45.3,58.3,48.5
2024-07-01,65.6,74.2,45.7,57.7,48.8
2024-10-01,65.7,74.4,46.4,58,48.8
2025-01-01,65.1,74.2,44.7,57.2,47.8
2025-04-01,65.0,74.0,43.9,57.5,48.8
2025-07-01,65.3,74.0,45.7,57.8,48.8
2025-10-01,65.7,75.1,44.2,59.1,48.7
