date,A822RY,A823RY,A824RY,A997RY,A788RY,A825RY,A542RY,A798RY,A829RY,A991RY,A799RY,A191RL
1994-04-01,-0.04,-0.3375,-0.2825,-0.1875,-0.095,-0.055,0.01,-0.06,0.295,0.265,0.0275,4.225
1994-07-01,0.2575,-0.115,-0.0875,-0.1,0.0125,-0.0275,0.0175,-0.0425,0.3675,0.2775,0.0875,4.35
1994-10-01,0.0175,-0.34,-0.3675,-0.2575,-0.11,0.0275,0.03,0.0,0.3525,0.275,0.08,4.125
1995-01-01,0.33,-0.07,-0.105,-0.125,0.02,0.035,0.0025,0.0325,0.395,0.26,0.1375,3.5
1995-04-01,0.295,-0.0625,-0.1125,-0.095,-0.0175,0.05,0.0225,0.0275,0.355,0.225,0.135,2.425
1995-07-01,-0.0775,-0.3125,-0.35,-0.2375,-0.11,0.0375,0.0175,0.02,0.235,0.2025,0.0375,2.7
1995-10-01,-0.1075,-0.36,-0.2475,-0.18,-0.065,-0.1125,-0.1075,-0.005,0.2525,0.215,0.04,2.2
1996-01-01,-0.05,-0.1925,-0.1425,-0.1525,0.0125,-0.05,-0.0625,0.0125,0.1425,0.1375,0.0075,2.6
1996-04-01,0.125,-0.0925,-0.075,-0.075,0.0025,-0.02,-0.0575,0.0375,0.2175,0.195,0.0225,4.0
1996-07-01,0.175,-0.1275,-0.085,-0.095,0.0075,-0.045,-0.0775,0.0325,0.3025,0.185,0.1175,4.025
1996-10-01,0.5,0.095,0.025,0.0425,-0.02,0.0675,0.0475,0.02,0.405,0.185,0.22,4.4
1997-01-01,0.2775,-0.15,-0.2125,-0.055,-0.16,0.0575,0.055,0.005,0.4275,0.235,0.1925,4.3
1997-04-01,0.2775,-0.07,-0.1475,-0.0275,-0.12,0.0725,0.0775,-0.0025,0.3475,0.2,0.1475,4.3
1997-07-01,0.36,-0.0025,-0.11,-0.0675,-0.0375,0.1025,0.105,-0.0025,0.365,0.2525,0.1125,4.675
1997-10-01,0.3225,0.02,-0.035,-0.055,0.025,0.05,0.0625,-0.01,0.305,0.29,0.015,4.5
1998-01-01,0.355,-0.0475,-0.115,-0.125,0.015,0.065,0.035,0.0325,0.405,0.345,0.06,4.875
1998-04-01,0.4275,-0.075,-0.1225,-0.1275,0.01,0.0475,0.0075,0.04,0.505,0.3775,0.1275,4.125
1998-07-01,0.4825,-0.07,-0.0075,-0.0325,0.0275,-0.0625,-0.095,0.035,0.5525,0.385,0.165,4.125
1998-10-01,0.5025,-0.015,-0.0975,-0.0575,-0.0375,0.0825,0.025,0.0575,0.5175,0.37,0.145,4.9
1999-01-01,0.695,0.1425,0.105,0.085,0.0225,0.0375,0.0125,0.0225,0.5525,0.3625,0.1875,4.825
1999-04-01,0.45,0.0075,-0.02,-0.0375,0.0175,0.0275,-0.01,0.035,0.4425,0.3275,0.1125,4.725
1999-07-01,0.53,0.1325,0.005,0.0275,-0.025,0.1275,0.0825,0.04,0.3975,0.31,0.09,4.8
1999-10-01,0.7025,0.22,0.16,0.1225,0.035,0.06,-0.02,0.075,0.4825,0.3025,0.1825,4.825
2000-01-01,0.445,0.015,-0.0275,-0.055,0.025,0.0425,0.0225,0.02,0.43,0.23,0.2025,4.25
2000-04-01,0.56,0.22,0.125,0.1025,0.02,0.095,0.1025,-0.0075,0.34,0.2075,0.135,5.275
2000-07-01,0.265,0.0,-0.0725,-0.055,-0.0175,0.0725,0.08,-0.005,0.265,0.1825,0.0825,4.025
2000-10-01,0.09,-0.115,-0.125,-0.1425,0.0175,0.0125,0.06,-0.045,0.205,0.175,0.03,2.95
2001-01-01,0.4975,0.2325,0.135,0.12,0.015,0.1,0.0975,0.0025,0.265,0.2475,0.0175,2.25
2001-04-01,0.63,0.125,0.0325,-0.005,0.04,0.095,0.0775,0.0175,0.505,0.2975,0.2075,1.0
2001-07-01,0.685,0.28,0.1575,0.0975,0.0625,0.1225,0.105,0.0175,0.4075,0.355,0.05,0.5
2001-10-01,0.8775,0.3375,0.1775,0.115,0.065,0.1575,0.1275,0.03,0.545,0.3775,0.165,0.175
2002-01-01,0.9225,0.4125,0.2625,0.175,0.09,0.15,0.1,0.05,0.515,0.3625,0.15,1.35
2002-04-01,0.75,0.45,0.2875,0.175,0.115,0.1625,0.115,0.0475,0.305,0.32,-0.0175,1.35
2002-07-01,0.8675,0.4775,0.2925,0.145,0.1525,0.1875,0.1325,0.055,0.39,0.2325,0.1575,2.15
2002-10-01,0.705,0.52,0.3225,0.1925,0.135,0.2,0.1475,0.055,0.1825,0.135,0.0475,2.0
2003-01-01,0.3975,0.3925,0.26,0.1475,0.1175,0.1325,0.11,0.025,0.0025,-0.0075,0.01,1.675
2003-04-01,0.435,0.5125,0.4025,0.325,0.08,0.11,0.075,0.0375,-0.08,-0.095,0.015,1.95
2003-07-01,0.385,0.4475,0.3525,0.3025,0.0475,0.0975,0.0725,0.0275,-0.0625,-0.1375,0.075,3.25
2003-10-01,0.3625,0.465,0.395,0.33,0.0625,0.0725,0.06,0.0125,-0.1025,-0.13,0.03,4.3
2004-01-01,0.4325,0.46,0.385,0.3225,0.06,0.0775,0.0625,0.015,-0.03,-0.0525,0.025,4.35
2004-04-01,0.305,0.255,0.195,0.1225,0.0675,0.0625,0.0575,0.0075,0.0475,0.0025,0.0475,4.225
2004-07-01,0.295,0.3375,0.315,0.2125,0.1,0.02,0.0175,0.005,-0.0425,0.035,-0.0775,3.475
2004-10-01,0.17,0.19,0.1275,0.05,0.075,0.06,0.0475,0.015,-0.0225,0.0625,-0.0875,3.325
2005-01-01,0.1825,0.1975,0.1475,0.0625,0.08,0.0475,0.04,0.01,-0.015,0.06,-0.0775,3.875
2005-04-01,0.12,0.1475,0.1425,0.055,0.0825,0.0025,0.0075,-0.0025,-0.0275,0.0425,-0.0725,3.6
2005-07-01,0.145,0.12,0.065,0.0125,0.0475,0.055,0.04,0.0175,0.0225,0.07,-0.0475,3.45
2005-10-01,0.165,0.135,0.0875,0.04,0.0425,0.0475,0.0325,0.0175,0.03,0.0575,-0.025,2.975
2006-01-01,0.305,0.2375,0.105,0.0575,0.045,0.1325,0.09,0.0475,0.0675,0.035,0.035,3.225
2006-04-01,0.3075,0.195,0.0825,0.0275,0.055,0.1125,0.0775,0.0375,0.1125,0.065,0.05,2.975
2006-07-01,0.2175,0.075,-0.0325,-0.0475,0.015,0.11,0.085,0.025,0.1425,0.0925,0.0525,2.325
2006-10-01,0.3675,0.18,0.145,0.08,0.065,0.04,0.0125,0.025,0.1875,0.1625,0.025,2.65
2007-01-01,0.16,-0.0475,0.0075,-0.045,0.0525,-0.05,-0.05,-0.005,0.2075,0.215,-0.0075,1.575
2007-04-01,0.345,0.1225,0.12,0.05,0.07,0.0075,-0.01,0.0125,0.2225,0.2225,0.0025,1.95
2007-07-01,0.4625,0.2525,0.2425,0.1525,0.0925,0.0125,-0.0075,0.015,0.21,0.1725,0.04,2.375
2007-10-01,0.455,0.265,0.185,0.125,0.0625,0.0825,0.0625,0.015,0.1875,0.105,0.0875,2.125
2008-01-01,0.465,0.415,0.2975,0.23,0.07,0.12,0.095,0.0175,0.0475,0.0125,0.04,1.4
2008-04-01,0.4575,0.455,0.2825,0.2075,0.0775,0.1775,0.1475,0.0225,-0.0,-0.025,0.0275,1.375
2008-07-01,0.53,0.49,0.3675,0.2675,0.1,0.1275,0.0975,0.025,0.0375,0.02,0.0175,0.275
2008-10-01,0.52,0.475,0.3625,0.2675,0.095,0.115,0.08,0.03,0.045,0.095,-0.0525,-2.475
2009-01-01,0.7125,0.4725,0.305,0.23,0.0725,0.17,0.1375,0.03,0.24,0.27,-0.0325,-3.175
2009-04-01,0.85,0.5075,0.355,0.305,0.045,0.1525,0.1275,0.0225,0.3425,0.3425,-0.005,-3.95
2009-07-01,0.745,0.485,0.2825,0.24,0.0375,0.2025,0.165,0.035,0.2625,0.2775,-0.0175,-3.075
2009-10-01,0.64,0.5075,0.265,0.2425,0.0175,0.2425,0.1925,0.05,0.135,0.165,-0.0325,0.15
2010-01-01,0.3125,0.495,0.275,0.24,0.0325,0.22,0.15,0.0725,-0.1825,-0.0725,-0.1125,1.75
2010-04-01,0.07,0.415,0.175,0.1625,0.01,0.24,0.1525,0.0875,-0.3425,-0.2425,-0.1025,2.9
2010-07-01,-0.135,0.3,0.1225,0.13,-0.01,0.1775,0.1125,0.065,-0.435,-0.3525,-0.085,3.325
2010-10-01,-0.305,0.16,0.075,0.07,0.0025,0.085,0.045,0.04,-0.465,-0.4,-0.0675,2.75
2011-01-01,-0.4625,-0.055,-0.0525,-0.02,-0.035,-0.0,-0.03,0.025,-0.4075,-0.37,-0.0375,2.05
2011-04-01,-0.665,-0.2,-0.0675,-0.02,-0.05,-0.13,-0.1325,-0.0025,-0.4675,-0.345,-0.1175,1.75
2011-07-01,-0.805,-0.345,-0.13,-0.08,-0.0525,-0.2125,-0.21,-0.0075,-0.465,-0.315,-0.1425,0.95
2011-10-01,-0.6875,-0.3,-0.19,-0.1175,-0.075,-0.1075,-0.105,-0.0075,-0.39,-0.285,-0.1,1.575
2012-01-01,-0.5225,-0.18,-0.1275,-0.065,-0.0625,-0.0525,-0.0425,-0.0125,-0.3425,-0.235,-0.105,2.65
2012-04-01,-0.4875,-0.215,-0.215,-0.155,-0.0575,0.0025,0.005,-0.005,-0.275,-0.185,-0.09,2.425
2012-07-01,-0.23,-0.015,-0.13,-0.07,-0.0575,0.1175,0.12,-0.0075,-0.2125,-0.1025,-0.115,2.6
2012-10-01,-0.405,-0.205,-0.24,-0.17,-0.0675,0.0375,0.0375,-0.005,-0.2025,-0.06,-0.145,1.575
2013-01-01,-0.495,-0.3775,-0.32,-0.2575,-0.065,-0.055,-0.02,-0.04,-0.12,-0.0125,-0.11,1.725
2013-04-01,-0.415,-0.37,-0.2825,-0.205,-0.0825,-0.0875,-0.0375,-0.0525,-0.045,0.025,-0.075,1.55
2013-07-01,-0.475,-0.49,-0.385,-0.3275,-0.0625,-0.105,-0.06,-0.045,0.0125,0.0325,-0.0225,2.275
2013-10-01,-0.43,-0.455,-0.3025,-0.2575,-0.0475,-0.155,-0.105,-0.05,0.025,0.0325,-0.01,3.025
2014-01-01,-0.335,-0.29,-0.2425,-0.165,-0.0775,-0.05,-0.035,-0.0125,-0.045,-0.02,-0.03,1.675
2014-04-01,-0.2875,-0.2725,-0.245,-0.205,-0.0375,-0.0325,-0.0325,0.005,-0.015,-0.02,0.0025,2.725
2014-07-01,-0.075,-0.09,-0.0975,-0.045,-0.05,0.005,0.0,0.01,0.015,0.0025,0.01,3.1
2014-10-01,0.0525,-0.0725,-0.145,-0.1075,-0.0375,0.075,0.0525,0.025,0.125,0.075,0.0475,2.725
2015-01-01,0.24,-0.0375,-0.1025,-0.095,-0.005,0.0675,0.0425,0.025,0.2775,0.195,0.0825,3.975
2015-04-01,0.3875,0.025,-0.065,-0.055,-0.005,0.0925,0.0625,0.03,0.365,0.2575,0.1075,3.275
2015-07-01,0.36,-0.06,-0.16,-0.1475,-0.0075,0.1,0.0675,0.0325,0.4225,0.3075,0.1125,2.425
2015-10-01,0.4525,0.095,-0.01,-0.0075,0.0025,0.1025,0.075,0.03,0.3575,0.3025,0.055,2.1
2016-01-01,0.5075,0.0725,-0.0125,-0.03,0.0225,0.0825,0.045,0.04,0.435,0.295,0.1375,1.775
2016-04-01,0.3225,0.0175,-0.06,-0.0375,-0.02,0.0775,0.04,0.0375,0.3025,0.255,0.045,1.475
2016-07-01,0.305,0.0575,0.0175,0.0375,-0.0175,0.04,0.005,0.035,0.245,0.2225,0.0225,1.8
2016-10-01,0.26,0.0125,-0.0175,0.0175,-0.035,0.0325,-0.0025,0.035,0.245,0.155,0.09,2.175
2017-01-01,0.05,-0.02,-0.02,-0.0025,-0.02,0.0025,-0.0225,0.025,0.0675,0.0525,0.015,2.1
2017-04-01,0.1125,0.0475,0.0725,0.0475,0.025,-0.0225,-0.045,0.0225,0.0625,0.01,0.0525,2.35
2017-07-01,0.0575,0.01,0.0175,-0.015,0.0325,-0.005,-0.0275,0.0225,0.045,-0.0225,0.07,2.425
2017-10-01,0.1825,0.0925,0.0775,0.02,0.06,0.015,-0.015,0.03,0.09,-0.0025,0.0925,3.025
2018-01-01,0.2675,0.185,0.11,0.05,0.06,0.0775,0.035,0.04,0.08,0.01,0.0725,3.35
2018-04-01,0.3425,0.1975,0.09,0.0525,0.035,0.11,0.06,0.0475,0.1425,0.0425,0.105,3.3
2018-07-01,0.4575,0.2825,0.165,0.115,0.0475,0.12,0.065,0.0525,0.1725,0.085,0.09,3.125
2018-10-01,0.3225,0.225,0.1725,0.11,0.06,0.0575,0.01,0.0425,0.095,0.14,-0.0425,2.125
2019-01-01,0.525,0.23,0.2475,0.1525,0.095,-0.015,-0.0425,0.025,0.295,0.26,0.0375,1.925
2019-04-01,0.6375,0.25,0.2025,0.185,0.02,0.0475,0.02,0.025,0.3875,0.3425,0.045,2.25
2019-07-01,0.7025,0.25,0.2025,0.145,0.06,0.0475,0.02,0.025,0.4525,0.4175,0.035,2.825
2019-10-01,0.8225,0.2575,0.165,0.1275,0.04,0.09,0.0525,0.04,0.5675,0.4775,0.09,3.375
2020-01-01,0.775,0.26,0.1,0.11,-0.0075,0.1575,0.08,0.0775,0.52,0.4275,0.09,1.45
2020-04-01,0.9925,0.7175,0.13,0.0225,0.1075,0.5875,0.4875,0.1,0.28,0.2725,0.005,-6.4
2020-07-01,0.505,0.43,0.0825,0.02,0.0625,0.3475,0.235,0.1125,0.08,0.0875,-0.0075,1.125
2020-10-01,0.3825,0.4025,0.19,0.1025,0.085,0.2125,0.135,0.075,-0.0175,-0.055,0.04,1.575
2021-01-01,0.4525,0.6175,0.0875,0.0475,0.0375,0.5325,0.4775,0.0525,-0.165,-0.1025,-0.0575,4.3
2021-04-01,-0.215,-0.065,0.03,0.035,-0.0075,-0.0925,-0.1275,0.0325,-0.15,-0.0425,-0.1025,13.05
2021-07-01,-0.065,0.01,-0.0225,-0.0125,-0.015,0.035,0.005,0.0275,-0.0725,0.0525,-0.125,5.15
2021-10-01,-0.0875,0.055,-0.1825,-0.145,-0.04,0.24,0.18,0.0575,-0.14,0.0475,-0.19,5.75
2022-01-01,-0.485,-0.3725,-0.205,-0.195,-0.0125,-0.1675,-0.225,0.0575,-0.11,0.0325,-0.145,4.075
2022-04-01,-0.3375,-0.2775,-0.155,-0.17,0.0125,-0.1225,-0.1675,0.045,-0.0575,0.045,-0.105,2.475
2022-07-01,-0.1325,-0.17,-0.1525,-0.1325,-0.02,-0.0175,-0.04,0.025,0.0375,0.0775,-0.0375,2.375
2022-10-01,0.0425,-0.09,-0.055,-0.075,0.02,-0.035,-0.045,0.01,0.1325,0.1275,0.0075,1.325
2023-01-01,0.35,0.1125,0.085,0.0525,0.0325,0.0275,0.035,-0.0075,0.2375,0.195,0.045,2.3
2023-04-01,0.555,0.1725,0.0925,0.0625,0.03,0.08,0.095,-0.015,0.38,0.2225,0.16,2.775
2023-07-01,0.7025,0.3,0.195,0.1275,0.0675,0.105,0.12,-0.0175,0.3975,0.2175,0.18,3.225
2023-10-01,0.7275,0.2175,0.145,0.12,0.025,0.075,0.0725,0.0025,0.5025,0.255,0.2475,3.375
2024-01-01,0.6525,0.1675,0.08,0.0725,0.01,0.09,0.0675,0.0225,0.4775,0.2675,0.21,2.85
2024-04-01,0.655,0.2375,0.1225,0.1075,0.0175,0.12,0.085,0.035,0.4125,0.2675,0.145,3.125
2024-07-01,0.6675,0.2675,0.175,0.125,0.055,0.0975,0.0525,0.045,0.3975,0.265,0.1325,2.775
2024-10-01,0.6125,0.285,0.1975,0.155,0.0475,0.09,0.065,0.025,0.3275,0.235,0.09,2.4
2025-01-01,0.4725,0.18,0.155,0.0775,0.08,0.025,0.0225,0.0025,0.2925,0.2,0.0925,2.05
2025-04-01,0.3275,0.025,0.1,0.0475,0.055,-0.0775,-0.07,-0.0075,0.3,0.1925,0.1075,2.1
2025-07-01,0.1925,-0.0675,0.035,0.0175,0.0175,-0.105,-0.0875,-0.015,0.2575,0.1775,0.08,2.375
2025-10-01,-0.175,-0.425,-0.1125,-0.1275,0.015,-0.3125,-0.2925,-0.0175,0.2475,0.1675,0.085,2.25
