date,CES0000000001,CES0500000001,CES0500000002,CES0500000003,CES0500000006,CES0500000007,CES0500000008,CES0500000016,CES0600000001,CES0600000002,CES0600000008,CES0800000001,CES0800000002,CES0800000008,CES1000000001,CES1000000008,CES2000000001,CES2000000008,CES3000000001,CES3000000008,CES4142000001,CES4142000008,CES4200000001,CES4200000008,CES4300000001,CES4300000008,CES4422000001,CES4422000008,CES5000000001,CES5000000008,CES5500000001,CES5500000008,CES6000000001,CES6000000008,CES6500000001,CES6500000008,CES7000000001,CES7000000008,CES9000000001,CES9091000001,CES9091622001,CES9091911001,CES9091912001,CES9092000001,CES9092161101,CES9092262201,CES9092292001,CES9093000001,CES9093161101,CES9093222101,CES9093248001,CES9093262201,CES9093292001,CEU0000000001,CEU0500000001,CEU0500000006,CEU0600000001,CEU0800000001,CEU1021100001,CEU1021100003,CEU1021200001,CEU1021200003,CEU1021300001,CEU1021300003,CEU2023600001,CEU2023600003,CEU2023700001,CEU2023700003,CEU2023800001,CEU2023800003,CEU3132100001,CEU3132100003,CEU3132700001,CEU3132700003,CEU3133100001,CEU3133100003,CEU3133200001,CEU3133200003,CEU3133300001,CEU3133300003,CEU3133400001,CEU3133400003,CEU3133500001,CEU3133500003,CEU3133600001,CEU3133600003,CEU3133700001,CEU3133700003,CEU3133900001,CEU3133900003,CEU3231100001,CEU3231100003,CEU3231300001,CEU3231300003,CEU3231400001,CEU3231400003,CEU3231500001,CEU3231500003,CEU3232200001,CEU3232200003,CEU3232300001,CEU3232300003,CEU3232400001,CEU3232500001,CEU3232500003,CEU3232600001,CEU3232600003,CEU3232900001,CEU4142300001,CEU4142300003,CEU4142400001,CEU4142400003,CEU4142500001,CEU4142500003,CEU4244100001,CEU4244100003,CEU4244400001,CEU4244400003,CEU4244500001,CEU4244500003,CEU4244900001,CEU4244900003,CEU4245500001,CEU4245500003,CEU4245600001,CEU4245600003,CEU4245700001,CEU4245700003,CEU4245800001,CEU4245800003,CEU4245900001,CEU4245900003,CEU4348100001,CEU4348100003,CEU4348200001,CEU4348300001,CEU4348400001,CEU4348400003,CEU4348500001,CEU4348500003,CEU4348600001,CEU4348700001,CEU4348800001,CEU4348800003,CEU4349200001,CEU4349200003,CEU4349300001,CEU4349300003,CEU4422000001,CEU4422000003,CEU5051200001,CEU5051200003,CEU5051300001,CEU5051300003,CEU5051600001,CEU5051600003,CEU5051700001,CEU5051700003,CEU5051800001,CEU5051800003,CEU5051900001,CEU5051900003,CEU5552100001,CEU5552200001,CEU5552200003,CEU5552300001,CEU5552300003,CEU5552400001,CEU5552400003,CEU5553100001,CEU5553100003,CEU5553200001,CEU5553200003,CEU5553300001,CEU6054000001,CEU6054000003,CEU6055000001,CEU6055000003,CEU6056100001,CEU6056100003,CEU6056200001,CEU6056200003,CEU6561000001,CEU6562100001,CEU6562100003,CEU6562200001,CEU6562200003,CEU6562300001,CEU6562300003,CEU6562400001,CEU6562400003,CEU7071100001,CEU7071100003,CEU7071200001,CEU7071200003,CEU7071300001,CEU7071300003,CEU7072100001,CEU7072100003,CEU7072200001,CEU7072200003,CEU8081100001,CEU8081100003,CEU8081200001,CEU8081200003,CEU8081300001,CEU8081300003,CEU9000000001
1988-11-01,      106617,       88871,,,       71908,        34.6,        9.58,,       24030,,       10.83,       64841,,        9.07,         754,       12.68,        5273,       12.64,       18003,       10.19,      5177.1,       10.82,     12914.2,        7.35,      3338.2,       12.04,       722.7,       15.29,        2616,       12.76,        6526,        9.25,       10313,       10.39,       10310,        9.12,        8928,        5.61,       17746,        3159,       231.6,       717.4,       845.1,        4116,      1638.4,       448.0,      1507.0,       10471,      5640.4,,,       623.2,,      107500,       89397,       72443,       24250,       65147,       192.5,,,,,,,,,,      3089.2,,,,       545.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       289.0,,,,,,,,,,,,,,       719.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1509.2,,,,,,,,,,       18103
1988-12-01,      106898,       89162,,,       72183,        34.5,        9.60,,       24054,,       10.85,       65108,,        9.10,         752,       12.73,        5277,       12.68,       18025,       10.20,      5195.3,       10.86,     12928.1,        7.37,      3365.0,       12.01,       720.0,       15.35,        2626,       12.73,        6533,        9.29,       10370,       10.42,       10359,        9.17,        8998,        5.62,       17736,        3156,       229.5,       720.4,       842.8,        4121,      1636.4,       448.8,      1516.2,       10459,      5658.0,,,       623.8,,      107722,       89703,       72699,       24014,       65689,       192.4,,,,,,,,,,      2987.6,,,,       537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       285.7,,,,,,,,,,,,,,       717.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1496.3,,,,,,,,,,       18019
1989-01-01,      107161,       89387,,,       72390,        34.7,        9.65,,       24097,,       10.88,       65290,,        9.16,         751,       12.75,        5289,       12.77,       18057,       10.23,      5219.0,       10.92,     12964.8,        7.38,      3341.0,       12.14,       724.9,       15.42,        2620,       12.84,        6529,        9.39,       10410,       10.50,       10383,        9.24,        9072,        5.65,       17774,        3158,       228.2,       723.8,       846.6,        4126,      1635.2,       449.3,      1520.4,       10490,      5677.0,,,       625.7,,      105743,       88003,       71036,       23568,       64435,       192.2,,,,,,,,,,      2819.3,,,,       523.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       279.9,,,,,,,,,,,,,,       720.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1478.5,,,,,,,,,,       17740
1989-02-01,      107427,       89615,,,       72561,        34.5,        9.68,,       24080,,       10.91,       65535,,        9.19,         747,       12.82,        5278,       12.79,       18055,       10.26,      5239.3,       10.92,     13006.3,        7.39,      3372.4,       12.14,       725.3,       15.42,        2627,       12.87,        6542,        9.37,       10466,       10.53,       10411,        9.29,        9096,        5.67,       17812,        3159,       225.9,       727.1,       844.9,        4136,      1646.5,       448.8,      1524.7,       10517,      5689.6,,,       627.0,,      106170,       88081,       71094,       23441,       64640,       190.9,,,,,,,,,,      2757.8,,,,       521.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       279.6,,,,,,,,,,,,,,       718.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1489.1,,,,,,,,,,       18089
1989-03-01,      107621,       89799,,,       72698,        34.5,        9.70,,       24069,,       10.95,       65730,,        9.21,         749,       12.81,        5260,       12.85,       18060,       10.29,      5260.1,       10.95,     13083.2,        7.40,      3354.1,       12.15,       724.7,       15.37,        2629,       12.90,        6547,        9.38,       10498,       10.57,       10468,        9.34,        9096,        5.68,       17822,        3152,       223.7,       730.0,       845.2,        4145,      1651.9,       448.1,      1529.4,       10525,      5694.3,,,       628.0,,      106813,       88631,       71595,       23546,       65085,       190.8,,,,,,,,,,      2806.8,,,,       528.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       280.5,,,,,,,,,,,,,,       720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1514.8,,,,,,,,,,       18182
1989-04-01,      107791,       89951,,,       72823,        34.6,        9.75,,       24100,,       10.96,       65851,,        9.27,         750,       12.87,        5295,       12.92,       18055,       10.28,      5252.5,       11.07,     13096.5,        7.42,      3364.7,       12.16,       726.7,       15.49,        2637,       12.97,        6549,        9.51,       10525,       10.63,       10536,        9.38,        9076,        5.73,       17840,        3142,       224.3,       730.5,       844.1,        4157,      1658.4,       446.8,      1538.1,       10541,      5701.9,,,       628.9,,      107611,       89427,       72328,       23848,       65579,       190.8,,,,,,,,,,      2961.9,,,,       539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       288.9,,,,,,,,,,,,,,       722.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1541.8,,,,,,,,,,       18184
1989-05-01,      107913,       90037,,,       72892,        34.4,        9.74,,       24089,,       10.98,       65948,,        9.25,         750,       12.90,        5299,       12.91,       18040,       10.30,      5251.9,       11.01,     13132.6,        7.42,      3368.4,       12.16,       732.1,       15.47,        2643,       12.97,        6554,        9.40,       10556,       10.63,       10590,        9.37,        9024,        5.72,       17876,        3143,       225.3,       731.6,       843.1,        4168,      1664.0,       444.4,      1545.8,       10565,      5723.5,,,       629.3,,      108294,       90054,       72908,       24076,       65978,       190.7,,,,,,,,,,      3060.4,,,,       544.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       290.5,,,,,,,,,,,,,,       730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1569.7,,,,,,,,,,       18240
1989-06-01,      108027,       90115,,,       72945,        34.4,        9.77,,       24052,,       11.00,       66063,,        9.29,         741,       12.90,        5298,       12.93,       18013,       10.33,      5246.8,       11.05,     13158.6,        7.44,      3372.5,       12.18,       733.0,       15.52,        2646,       13.00,        6560,        9.52,       10573,       10.66,       10706,        9.39,        8955,        5.74,       17912,        3137,       225.5,       733.4,       839.5,        4182,      1670.5,       442.9,      1555.9,       10593,      5733.5,,,       629.5,,      108937,       90939,       73705,       24358,       66581,       193.4,,,,,,,,,,      3155.0,,,,       550.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       290.7,,,,,,,,,,,,,,       740.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1655.7,,,,,,,,,,       17998
1989-07-01,      108069,       90164,,,       72976,        34.5,        9.83,,       24027,,       11.06,       66137,,        9.35,         730,       12.92,        5317,       13.01,       17980,       10.36,      5246.4,       11.13,     13163.2,        7.46,      3384.9,       12.19,       733.6,       15.65,        2639,       13.07,        6567,        9.62,       10595,       10.72,       10764,        9.46,        8936,        5.78,       17905,        3135,       226.1,       736.5,       837.4,        4185,      1666.6,       443.0,      1562.2,       10585,      5721.2,,,       630.8,,      107848,       90843,       73606,       24290,       66553,       193.5,,,,,,,,,,      3223.7,,,,       548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       287.6,,,,,,,,,,,,,,       743.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1689.6,,,,,,,,,,       17005
1989-08-01,      108120,       90131,,,       72943,        34.5,        9.83,,       24048,,       11.08,       66083,,        9.34,         754,       12.98,        5330,       13.00,       17964,       10.39,      5254.0,       11.14,     13190.1,        7.47,      3398.0,       12.22,       736.4,       15.56,        2498,       13.00,        6571,        9.57,       10613,       10.73,       10834,        9.44,        8853,        5.79,       17989,        3133,       227.7,       737.8,       837.0,        4199,      1671.6,       439.4,      1578.9,       10657,      5755.2,,,       631.1,,      107927,       91042,       73819,       24511,       66531,       192.6,,,,,,,,,,      3251.3,,,,       548.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       288.3,,,,,,,,,,,,,,       746.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1693.7,,,,,,,,,,       16885
1989-09-01,      108369,       90342,,,       73118,        34.4,        9.87,,       24000,,       11.10,       66342,,        9.39,         755,       12.95,        5323,       13.03,       17922,       10.41,      5240.6,       11.18,     13176.5,        7.50,      3401.0,       12.31,       736.8,       15.65,        2610,       13.05,        6577,        9.62,       10647,       10.79,       10786,        9.53,        9004,        5.80,       18027,        3127,       229.0,       739.8,       835.3,        4220,      1696.5,       438.9,      1581.9,       10680,      5774.0,,,       637.0,,      108724,       90963,       73714,       24426,       66537,       190.1,,,,,,,,,,      3213.1,,,,       545.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       285.9,,,,,,,,,,,,,,       737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1629.4,,,,,,,,,,       17761
1989-10-01,      108476,       90443,,,       73215,        34.6,        9.92,,       23997,,       11.13,       66446,,        9.45,         755,       12.99,        5347,       13.09,       17895,       10.43,      5239.2,       11.25,     13143.3,        7.54,      3414.9,       12.35,       737.1,       15.69,        2616,       13.08,        6576,        9.71,       10658,       10.89,       10766,        9.62,        9126,        5.83,       18033,        3124,       229.9,       740.8,       832.5,        4215,      1685.3,       437.3,      1584.8,       10694,      5785.2,,,       637.8,,      109217,       90958,       73730,       24348,       66610,       188.6,,,,,,,,,,      3201.1,,,,       544.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       284.6,,,,,,,,,,,,,,       735.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1579.2,,,,,,,,,,       18259
1989-11-01,      108752,       90695,,,       73432,        34.4,        9.93,,       24009,,       11.17,       66686,,        9.45,         759,       12.98,        5364,       13.16,       17886,       10.44,      5241.0,       11.26,     13141.8,        7.56,      3430.2,       12.34,       737.7,       15.62,        2620,       13.06,        6584,        9.68,       10724,       10.86,       10792,        9.63,        9230,        5.84,       18057,        3121,       231.2,       741.8,       827.9,        4225,      1687.9,       436.1,      1596.8,       10711,      5801.3,,,       638.3,,      109657,       91240,       73978,       24223,       67017,       188.4,,,,,,,,,,      3165.1,,,,       542.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       282.9,,,,,,,,,,,,,,       734.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1552.7,,,,,,,,,,       18417
1989-12-01,      108836,       90761,,,       73508,        34.3,        9.98,,       23949,,       11.21,       66812,,        9.50,         759,       13.08,        5309,       13.25,       17881,       10.49,      5239.1,       11.30,     13070.7,        7.62,      3454.4,       12.37,       738.4,       15.70,        2682,       13.10,        6585,        9.72,       10764,       10.89,       10814,        9.70,        9273,        5.88,       18075,        3098,       231.8,       742.5,       823.9,        4223,      1682.2,       433.6,      1604.5,       10754,      5816.6,,,       640.3,,      109666,       91302,       74007,       23899,       67403,       189.5,,,,,,,,,,      3020.2,,,,       531.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,       278.7,,,,,,,,,,,,,,       735.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1545.2,,,,,,,,,,       18364
