Series Description,Households and nonprofit organizations, net worth ,Households and nonprofit organizations, total assets,Households and nonprofit organizations, net worth .1,Households and nonprofit organizations, total liabilities,Households and nonprofit organizations, net saving less net capital transfers paid including consumer durables and government insurance and pension fund reserves ,Households and nonprofit organizations, holding gains on assets at market value,Households and nonprofit organizations, total other volume changes (IMA)
2000Q4,-506594,489517,346392,143125,137664,159804,263281,,,,,,,
2001Q1,-223663,313301,267371,45930,154546,-55554,319126,,,,,,,
2001Q2,1203013,285093,89934,195159,122262,173369,38653,,,,,,,
2001Q3,-1067930,422112,167616,254496,170768,110272,80506,,,,,,,
2001Q4,1591335,368596,243095,125500,142354,195140,164797,,,,,,,
2002Q1,664237,314629,182759,131870,218124,178437,27534,,,,,,,
2002Q2,-615909,256199,67689,188510,176794,250263,5333,,,,,,,
2002Q3,-1073038,159173,-56312,215485,190478,-12064,-159534,,,,,,,
2002Q4,1243625,503693,256096,247597,91043,318138,291252,,,,,,,
2003Q1,262490,191743,5817,185926,198949,39739,-76719,,,,,,,
2003Q2,1916445,635225,244083,391143,166787,410514,119593,,,,,,,
2003Q3,948079,415210,155560,259651,217287,383217,20132,,,,,,,
2003Q4,2089212,545415,309815,235600,109220,441324,445792,,,,,,,
2004Q1,2450543,512184,317970,194214,210836,289428,1000039,,,,,,,
2004Q2,873208,329857,13651,316206,180752,205058,-39386,,,,,,,
2004Q3,1295879,475523,214595,260928,223986,383344,135478,,,,,,,
2004Q4,2519310,594693,222815,371879,96953,292647,250917,,,,,,,
2005Q1,900524,370736,157802,212934,199922,214548,37061,,,,,,,
2005Q2,1537313,515855,183514,332341,136756,373204,116241,,,,,,,
2005Q3,1712442,464835,115025,349810,173797,251201,-110939,,,,,,,
2005Q4,1618644,590618,295740,294878,56809,357367,383168,,,,,,,
2006Q1,1919060,557232,244871,312361,207906,254966,437065,,,,,,,
2006Q2,82248,428243,66371,361872,142841,234085,7283,,,,,,,
2006Q3,1073527,397738,67182,330556,179253,161187,-9277,,,,,,,
2006Q4,1523200,442642,160687,281955,74172,174826,188415,,,,,,,
2007Q1,957261,468766,290087,178679,206134,73928,270519,,,,,,,
2007Q2,627744,162662,-146556,309218,153923,-28613,-216429,,,,,,,
2007Q3,619873,831390,575997,255393,192229,507452,532953,,,,,,,
2007Q4,-745658,665524,438946,226578,60312,125780,476946,,,,,,,
2008Q1,-2152692,602010,459087,142923,165644,-21859,350617,,,,,,,
2008Q2,-1391441,186257,221513,-35256,182900,288000,50390,,,,,,,
2008Q3,-2217226,615201,438403,176798,198709,396811,363699,,,,,,,
2008Q4,-3275981,324578,585747,-261169,108731,73445,445886,,,,,,,
2009Q1,-1341487,285042,340821,-55779,217977,346181,588909,,,,,,,
2009Q2,685546,30409,-95,30504,186905,127070,-228663,,,,,,,
2009Q3,1540926,143567,75476,68091,220660,311420,-84153,,,,,,,
2009Q4,377997,330137,272195,57942,98385,199142,158591,,,,,,,
2010Q1,1060527,276982,403936,-126954,247232,476240,354974,,,,,,,
2010Q2,-574822,166966,180329,-13363,194228,267232,186719,,,,,,,
2010Q3,2054343,164195,183878,-19683,239926,73445,132865,,,,,,,
2010Q4,1745422,450572,398531,52041,135922,264866,579527,,,,,,,
2011Q1,1080328,368872,366834,2038,303429,176204,67758,,,,,,,
2011Q2,518536,316370,325731,-9361,211376,105470,161717,,,,,,,
2011Q3,-1852809,468406,487527,-19121,249967,303227,352274,,,,,,,
2011Q4,1451371,377187,332276,44911,164837,170091,128734,,,,,,,
2012Q1,2120638,225044,236672,-11628,324227,46150,-92572,,,,,,,
2012Q2,-32092,318381,312131,6250,292349,294002,14841,,,,,,,
2012Q3,1995582,507414,428603,78811,319772,422328,170504,,,,,,,
2012Q4,1023033,446939,371684,75255,295795,43997,150573,,,,,,,
2013Q1,2846901,401502,412557,-11055,310216,329941,424537,,,,,,,
2013Q2,1204555,210395,172659,37736,227837,73395,382833,,,,,,,
2013Q3,2613031,270989,172043,98946,263136,46429,268343,,,,,,,
2013Q4,2440652,483793,386332,97461,120102,237119,415873,,,,,,,
2014Q1,1510339,362284,385711,-23427,313014,85975,106399,,,,,,,
2014Q2,1807886,321450,178728,142722,271119,249962,-41221,,,,,,,
2014Q3,462190,221964,100449,121515,345677,97099,-21147,,,,,,,
2014Q4,1882386,711927,630960,80967,204850,428192,569042,,,,,,,
2015Q1,1945667,666625,671185,-4560,380684,382996,297132,,,,,,,
2015Q2,438179,193144,40364,152780,303496,160839,-94400,,,,,,,
2015Q3,-1035868,391474,315716,75758,356993,252049,43530,,,,,,,
2015Q4,1582709,616335,490020,126315,187699,307578,288101,,,,,,,
2016Q1,949631,597442,589432,8010,387518,287574,163327,,,,,,,
2016Q2,1452989,373178,220573,152605,273836,265465,-77708,,,,,,,
2016Q3,2202265,283625,86681,196944,306209,29889,-70740,,,,,,,
2016Q4,1198457,263228,154581,108647,194105,22415,280198,,,,,,,
2017Q1,2173291,573281,512235,61046,388904,203684,146409,,,,,,,
2017Q2,1758661,339401,166712,172689,292348,361398,-91681,,,,,,,
2017Q3,2128715,362650,218135,144515,388867,186584,-129141,,,,,,,
2017Q4,2625249,643768,430172,213596,213292,441888,374289,,,,,,,
2018Q1,663304,720303,676869,43434,430993,341242,437411,,,,,,,
2018Q2,1862117,326468,183328,143140,341254,257883,14022,,,,,,,
2018Q3,2067657,657988,476701,181287,414475,631669,230109,,,,,,,
2018Q4,-3911273,744722,607870,136852,273222,245823,145011,,,,,,,
2019Q1,5327798,765942,755757,10185,498713,437939,270041,,,,,,,
2019Q2,1849215,405305,225474,179831,390225,338615,-81168,,,,,,,
