date,RXI$US_N.B.AL,RXI$US_N.B.EU,RXI$US_N.B.NZ,RXI$US_N.B.UK,RXI_N.B.BZ,RXI_N.B.CA,RXI_N.B.CH,RXI_N.B.DN,RXI_N.B.HK,RXI_N.B.IN,RXI_N.B.JA,RXI_N.B.KO,RXI_N.B.MA,RXI_N.B.MX,RXI_N.B.NO,RXI_N.B.SD,RXI_N.B.SF,RXI_N.B.SI,RXI_N.B.SL,RXI_N.B.SZ,RXI_N.B.TA,RXI_N.B.TH,RXI_N.B.VES
2015-01-20,0.8177,1.1559,0.7693,1.5162,2.6148,1.2085,6.2137,6.43,7.7519,61.64,118.48,1087.17,3.614,14.6465,7.6624,8.1809,11.613,1.3377,131.7,0.8751,31.66,32.7,6.2842
2015-01-21,0.8101,1.1584,0.7578,1.5118,2.5982,1.2377,6.2112,6.4178,7.7508,61.55,117.86,1081.94,3.6125,14.725,7.6165,8.1819,11.524,1.3346,131.75,0.8596,31.47,32.56,6.2842
2015-01-22,0.8099,1.1414,0.7551,1.5052,2.5644,1.237,6.2085,6.5202,7.7521,61.32,117.92,1081.75,3.6,14.6015,7.6497,8.1948,11.3765,1.3357,131.85,0.8678,31.35,32.53,6.2842
2015-01-23,0.7935,1.1279,0.7477,1.5022,2.5805,1.24,6.2279,6.5998,7.7511,61.46,117.8,1075.75,3.6,14.64,7.7603,8.2702,11.402,1.344,131.75,0.876,31.23,32.58,6.2842
2015-01-26,0.7934,1.129,0.7425,1.5088,2.582,1.2409,6.2535,6.5998,7.7522,61.46,118.38,1079.42,3.617,14.564,7.7591,8.2669,11.443,1.3418,131.9,0.8988,31.31,32.55,6.2842
2015-01-27,0.7939,1.137,0.7461,1.5196,2.5737,1.2402,6.243,6.5454,7.7518,61.34,117.62,1075.31,3.599,14.5775,7.7193,8.1703,11.541,1.3388,131.9,0.9042,31.06,32.51,6.2842
2015-01-28,0.7973,1.1342,0.7451,1.5165,2.5825,1.2452,6.2475,6.5629,7.7523,61.34,117.74,1084.84,3.6165,14.6855,7.7785,8.2331,11.525,1.3509,132.25,0.9055,31.18,32.55,6.2842
2015-01-29,0.7758,1.1308,0.7259,1.5043,2.6113,1.2644,6.2463,6.5803,7.7516,61.94,118.31,1098.6,3.628,14.8805,7.8265,8.2647,11.557,1.3533,132.1,0.9226,31.56,32.76,6.2842
2015-01-30,0.7762,1.129,0.7248,1.5026,2.6843,1.2716,6.2495,6.5907,7.7529,62.01,117.44,1104.3,3.629,15.005,7.7498,8.2732,11.651,1.3537,132.15,0.921,31.75,32.74,6.2842
2015-02-02,0.7818,1.1337,0.7304,1.5027,2.7086,1.2577,6.2594,6.5648,7.753,61.68,117.33,1099.61,3.629,14.8815,7.6259,8.2932,11.5185,1.3513,132.2,0.9262,31.62,32.57,6.2842
2015-02-03,0.7737,1.1462,0.7294,1.5129,2.7016,1.2452,6.2573,6.4955,7.7535,61.67,117.48,1096.06,3.629,14.7515,7.5442,8.2265,11.4065,1.3469,132.2,0.9234,31.5,32.61,6.2842
2015-02-04,0.7761,1.1418,0.7371,1.5209,2.7403,1.255,6.2472,6.5188,7.7517,61.73,117.58,1086.79,3.557,14.7935,7.5493,8.2527,11.4375,1.3472,132.2,0.9238,31.46,32.6,6.2842
2015-02-05,0.7803,1.1432,0.7391,1.5293,2.7306,1.2419,6.2516,6.5113,7.7518,61.73,117.4,1087.05,3.569,14.748,7.5207,8.2521,11.2705,1.3449,132.2,0.9248,31.49,32.59,6.2842
2015-02-06,0.7807,1.133,0.7361,1.5247,2.7681,1.2524,6.2417,6.5669,7.7524,61.7,119.16,1097.26,3.54,14.9175,7.5929,8.3891,11.5005,1.3513,132.87,0.9228,31.58,32.62,6.2842
2015-02-09,0.7813,1.1316,0.7415,1.5217,2.7872,1.2448,6.2467,6.5773,7.7533,62.1,118.7,1096.4,3.56,14.809,7.6154,8.3604,11.593,1.354,132.8,0.9258,31.59,32.6,6.2842
2015-02-10,0.7781,1.1316,0.7413,1.5252,2.8304,1.2528,6.2405,6.5778,7.7541,62.33,119.32,1098.61,3.578,14.953,7.5728,8.3312,11.704,1.3553,132.8,0.9263,31.56,32.63,6.2842
2015-02-11,0.7713,1.13,0.7382,1.5232,2.8724,1.2635,6.2422,6.5859,7.7546,62.41,120.38,1108.19,3.596,15.1025,7.653,8.3891,11.8645,1.3609,132.8,0.9288,31.62,32.66,6.2842
2015-02-12,0.7763,1.141,0.7462,1.538,2.8225,1.2464,6.244,6.5248,7.7552,62.3,118.72,1100.87,3.605,14.8905,7.6527,8.4169,11.692,1.3556,132.8,0.9283,31.31,32.6,6.2842
2015-02-13,0.7772,1.1408,0.7468,1.5394,2.8273,1.2449,6.2399,6.5239,7.7553,62.04,118.7,1097.2,3.578,14.873,7.568,8.4039,11.63,1.3543,132.8,0.9308,31.34,32.59,6.2842
2015-02-16,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,0.7816,1.1395,0.7523,1.5349,2.829,1.2401,6.2546,6.5331,7.7584,62.14,118.99,1107.33,3.583,14.885,7.5376,8.333,11.631,1.356,132.9,0.9346,31.6,32.59,6.2842
2015-02-18,0.7778,1.1342,0.7519,1.543,2.8467,1.2456,6.2546,6.5638,7.7584,62.25,119.19,1112.82,3.618,14.961,7.5275,8.415,11.682,1.3603,132.8,0.9446,31.67,32.58,6.2842
2015-02-19,0.781,1.1392,0.7543,1.5451,2.8578,1.2484,6.2546,6.5351,7.7573,62.08,118.84,1110.69,3.618,14.937,7.5737,8.3967,11.6225,1.3576,132.85,0.9472,31.74,32.55,6.2842
2015-02-20,0.7833,1.1372,0.7534,1.5385,2.8773,1.2503,6.2546,6.5563,7.7577,62.19,118.68,1110.06,3.618,15.0625,7.5256,8.3783,11.623,1.3591,132.9,0.9419,31.76,32.54,6.2842
2015-02-23,0.7807,1.1346,0.7536,1.5465,2.8688,1.2577,6.2546,6.5775,7.7568,62.15,118.88,1108.25,3.633,15.078,7.6068,8.4142,11.625,1.3583,132.9,0.9494,31.75,32.54,6.2842
2015-02-24,0.7808,1.1307,0.7456,1.5434,2.8462,1.2601,6.2546,6.5974,7.7557,62.07,119.13,1108.05,3.64,14.9755,7.6145,8.4193,11.5385,1.3591,132.9,0.9516,31.65,32.55,6.2842
2015-02-25,0.7898,1.1363,0.7548,1.5499,2.8656,1.2418,6.2591,6.5731,7.7565,61.84,118.88,1101.53,3.603,14.919,7.554,8.304,11.444,1.354,132.9,0.9496,31.43,32.52,6.2842
2015-02-26,0.7816,1.1212,0.7555,1.5424,2.8806,1.249,6.2584,6.6606,7.755,61.74,119.36,1100.33,3.582,14.9465,7.6402,8.3893,11.5,1.3561,132.9,0.954,31.41,32.35,6.2842
2015-02-27,0.781,1.1197,0.7557,1.5439,2.8618,1.2506,6.2695,6.6649,7.7559,61.67,119.72,1100.65,3.61,14.939,7.6619,8.3555,11.6865,1.3614,133.0,0.9513,31.44,32.34,6.2842
2015-03-02,0.778,1.119,0.7523,1.5371,2.8765,1.2535,6.272,6.6583,7.7545,61.87,120.06,1101.46,3.63,14.9895,7.6959,8.3427,11.749,1.365,132.9,0.9553,31.4,32.34,6.2842
2015-03-03,0.784,1.1212,0.757,1.5391,2.8967,1.245,6.2741,6.6464,7.7537,61.76,119.47,1095.65,3.624,14.935,7.6924,8.2612,11.766,1.3616,132.9,0.959,31.35,32.35,6.2842
2015-03-04,0.7821,1.107,0.7584,1.5266,2.979,1.2439,6.2701,6.7334,7.7544,62.3,119.76,1100.2,3.6445,15.0825,7.8102,8.354,11.823,1.3678,132.9,0.964,31.42,32.41,6.2842
2015-03-05,0.7763,1.1006,0.7466,1.5229,2.9961,1.2482,6.2658,6.7711,7.756,62.26,120.22,1100.11,3.648,15.181,7.7416,8.3583,11.8145,1.3713,132.9,0.9736,31.44,32.42,6.2842
2015-03-06,0.7712,1.0855,0.7365,1.5063,3.0601,1.2615,6.262,6.8629,7.7565,62.45,120.93,1110.36,3.651,15.448,7.8978,8.4994,12.0555,1.3789,132.9,0.9846,31.59,32.57,6.2842
2015-03-09,0.7716,1.0846,0.736,1.5097,3.1015,1.2598,6.2635,6.8699,7.76,62.67,121.17,1114.18,3.677,15.4635,7.9361,8.4875,12.091,1.3792,132.95,0.9873,31.52,32.59,6.2842
2015-03-10,0.7637,1.0707,0.7272,1.5086,3.1273,1.2633,6.2615,6.9602,7.7601,62.71,121.2,1123.32,3.7,15.5815,8.0967,8.5531,12.3335,1.388,132.9,0.9996,31.66,32.7,6.2842
2015-03-11,0.7582,1.0576,0.7218,1.4945,3.0881,1.2763,6.2613,7.0519,7.7647,62.76,121.5,1131.33,3.697,15.461,8.1874,8.6257,12.276,1.3862,132.9,1.0074,31.71,32.88,6.2842
2015-03-12,0.7705,1.0615,0.7403,1.4907,3.1247,1.2692,6.2614,7.0245,7.7685,62.44,121.28,1120.13,3.689,15.366,8.1054,8.61,12.2625,1.3793,132.9,1.0034,31.58,32.83,6.2842
2015-03-13,0.7631,1.0524,0.733,1.4755,3.2605,1.2803,6.2585,7.0873,7.7686,63.06,121.17,1135.7,3.687,15.4985,8.1922,8.6706,12.4655,1.391,132.9,1.0047,31.71,32.92,6.2842
2015-03-16,0.7656,1.0575,0.739,1.48,3.2204,1.2763,6.262,7.0568,7.7654,62.8,121.3,1129.62,3.7035,15.4225,8.2575,8.6341,12.42,1.3892,132.9,1.0074,31.63,32.91,6.2842
2015-03-17,0.7615,1.0605,0.7312,1.4744,3.2632,1.2769,6.249,7.0338,7.7632,62.64,121.28,1127.69,3.696,15.425,8.292,8.6723,12.3875,1.3894,132.9,1.004,31.58,32.94,6.2842
2015-03-18,0.7653,1.0643,0.7363,1.4686,3.2747,1.2771,6.2289,7.0042,7.758,62.69,120.92,1127.09,3.706,15.4285,8.3524,8.7505,12.3265,1.3895,132.9,0.9952,31.48,32.84,6.2842
2015-03-19,0.7618,1.0621,0.7376,1.4729,3.2931,1.2743,6.1955,7.014,7.7596,62.56,120.9,1121.21,3.7025,15.3055,8.092,8.6892,12.3285,1.3896,133.1,0.9921,31.48,32.76,6.2842
2015-03-20,0.7759,1.0792,0.7555,1.4923,3.2206,1.2593,6.2037,6.9087,7.7592,62.47,120.28,1113.87,3.729,15.05,8.0431,8.6443,12.04,1.3823,133.1,0.9766,31.41,32.61,6.2842
2015-03-23,0.7848,1.0928,0.7623,1.4936,3.1596,1.2515,6.2135,6.8229,7.7551,62.22,119.74,1106.68,3.6945,14.9565,7.8837,8.4981,11.903,1.3669,133.1,0.9668,31.28,32.49,6.2842
2015-03-24,0.7869,1.0908,0.7632,1.487,3.1534,1.251,6.2046,6.8409,7.7561,62.4,119.9,1104.2,3.647,14.945,7.865,8.5137,11.836,1.3678,133.1,0.9586,31.24,32.52,6.2842
2015-03-25,0.7856,1.0986,0.7633,1.4915,3.1609,1.2513,6.2116,6.7981,7.7554,62.35,119.37,1099.72,3.6645,14.933,7.8314,8.4698,11.855,1.3678,133.1,0.9574,31.24,32.49,6.2842
2015-03-26,0.7836,1.0919,0.7584,1.4844,3.1768,1.2469,6.2103,6.838,7.7544,62.83,119.01,1103.59,3.657,15.0855,7.8802,8.5548,11.922,1.3678,132.9,0.9614,31.21,32.52,6.2842
2015-03-27,0.7754,1.0891,0.756,1.4878,3.2412,1.2579,6.2145,6.8575,7.7534,62.5,119.15,1103.6,3.683,15.172,7.9595,8.5764,12.0155,1.3682,132.9,0.9586,31.19,32.53,6.2842
2015-03-30,0.7645,1.0818,0.7514,1.4792,3.2515,1.2687,6.2065,6.9036,7.7549,62.52,120.11,1106.39,3.7115,15.249,8.0301,8.5928,12.1355,1.375,132.9,0.9678,31.28,32.57,6.2842
2015-03-31,0.7625,1.0741,0.7485,1.485,3.1843,1.2681,6.199,6.9552,7.754,62.31,119.96,1107.71,3.702,15.245,8.0513,8.6268,12.1385,1.3721,132.95,0.9712,31.24,32.55,6.2842
2015-04-01,0.7615,1.0768,0.7461,1.4823,3.1547,1.261,6.1976,6.9382,7.7524,62.14,119.62,1098.1,3.6975,15.113,8.007,8.6475,11.961,1.3634,132.9,0.9671,31.24,32.47,6.2842
2015-04-02,0.7566,1.0874,0.7483,1.4842,3.1373,1.2584,6.1968,6.8722,7.7525,62.13,119.74,1089.49,3.669,15.0635,7.9831,8.6348,11.973,1.3575,132.9,0.9578,31.05,32.46,6.2842
2015-04-03,0.7645,1.099,0.7595,1.4916,3.12,1.2465,6.193,6.802,7.7516,61.99,118.96,1085.65,3.668,14.8025,7.9191,8.5341,11.7765,1.3492,132.9,0.9504,30.87,32.38,6.2842
2015-04-06,0.7657,1.1008,0.7605,1.4959,3.0961,1.245,6.193,6.7904,7.7525,62.16,119.05,1083.38,3.63,14.8225,7.9026,8.503,11.734,1.3507,132.9,0.9524,30.88,32.42,6.2842
2015-04-07,0.7646,1.085,0.7507,1.4857,3.1105,1.2488,6.1955,6.8867,7.7515,62.23,120.36,1093.76,3.6345,14.92,8.0654,8.6507,11.8575,1.3593,132.9,0.964,31.06,32.58,6.2842
2015-04-08,0.7715,1.0818,0.758,1.4924,3.0852,1.2508,6.202,6.9071,7.7503,62.22,119.96,1093.77,3.627,14.9065,8.0359,8.6489,11.8145,1.3546,132.9,0.9634,31.08,32.57,6.2842
2015-04-09,0.7706,1.0671,0.7555,1.4739,3.0345,1.258,6.205,7.0022,7.7499,62.18,120.32,1093.8,3.627,15.055,8.1059,8.7518,11.904,1.3583,133.0,0.9754,31.24,32.54,6.2842
2015-04-10,0.7674,1.0598,0.7532,1.4648,3.0784,1.2596,6.2082,7.0517,7.7499,62.21,120.29,1093.13,3.6632,15.167,8.1127,8.818,11.9935,1.3668,132.9,0.9807,31.23,32.51,6.2842
2015-04-13,0.7579,1.0582,0.7448,1.4658,3.1157,1.2603,6.2152,7.0603,7.75,62.38,120.32,1100.41,3.705,15.311,8.0943,8.8156,12.1095,1.3731,132.9,0.978,31.33,32.53,6.2842
2015-04-14,0.7638,1.0672,0.7536,1.479,3.0779,1.2476,6.2113,6.9976,7.7518,62.25,119.26,1090.76,3.699,15.2135,7.9347,8.7452,11.994,1.359,132.9,0.9712,31.21,32.46,6.2842
2015-04-15,0.761,1.0596,0.7537,1.4782,3.0571,1.2378,6.2037,7.0466,7.7521,62.34,119.23,1095.07,3.703,15.361,7.8993,8.793,12.172,1.3605,132.9,0.9721,31.23,32.43,6.2842
2015-04-16,0.7796,1.0742,0.7662,1.4923,3.018,1.2206,6.1947,6.9475,7.7516,62.28,119.18,1086.89,3.654,15.216,7.7677,8.596,11.965,1.3536,132.9,0.9584,31.1,32.41,6.2842
2015-04-17,0.7776,1.078,0.7684,1.4942,3.0639,1.2225,6.1976,6.921,7.751,62.48,119.02,1081.99,3.624,15.319,7.8368,8.6482,12.067,1.3467,132.9,0.9528,31.05,32.32,6.2842
2015-04-20,0.7727,1.0763,0.7667,1.4913,3.0446,1.2203,6.2014,6.9324,7.75,63.07,119.27,1081.27,3.62,15.394,7.8586,8.6701,12.0945,1.3477,132.9,0.9543,31.07,32.39,6.2842
2015-04-21,0.7741,1.0758,0.769,1.4944,3.033,1.2274,6.201,6.9352,7.7501,62.92,119.45,1081.54,3.6313,15.381,7.8395,8.6279,12.112,1.3499,132.9,0.9528,31.08,32.35,6.2842
2015-04-22,0.7771,1.0729,0.7677,1.5027,2.9988,1.225,6.1927,6.9546,7.75,62.96,119.9,1080.64,3.61,15.4275,7.9045,8.7232,12.205,1.3461,132.9,0.9662,31.06,32.37,6.2842
2015-04-23,0.7782,1.0803,0.7585,1.5047,2.9807,1.2148,6.1975,6.9061,7.7495,63.27,119.69,1080.0,3.622,15.3305,7.8484,8.65,12.18,1.3447,133.1,0.955,31.03,32.43,6.2842
2015-04-24,0.7825,1.0876,0.7601,1.5176,2.9631,1.2168,6.193,6.8606,7.7499,63.55,118.98,1075.85,3.582,15.3825,7.777,8.631,12.1055,1.3315,132.9,0.9533,30.68,32.57,6.2842
2015-04-27,0.7859,1.0892,0.7648,1.5235,2.9049,1.2106,6.2185,6.8494,7.7499,63.34,119.12,1071.01,3.5655,15.3175,7.7167,8.6008,11.9785,1.3276,132.9,0.9534,30.44,32.6,6.2842
2015-04-28,0.8017,1.0979,0.7733,1.5328,2.9002,1.2021,6.2035,6.797,7.7505,63.05,118.8,1063.03,3.554,15.2185,7.6529,8.5333,11.81,1.318,132.9,0.9538,30.42,32.62,6.2842
2015-04-29,0.8065,1.1174,0.7737,1.5485,2.9393,1.1955,6.1989,6.6774,7.7504,63.38,118.83,1066.48,3.558,15.168,7.4722,8.3052,11.7185,1.3171,132.9,0.9358,30.37,32.87,6.2842
2015-04-30,0.7867,1.1162,0.7591,1.5328,3.0121,1.2116,6.2018,6.6872,7.7513,63.58,119.86,1076.74,3.56,15.3855,7.568,8.3778,11.9355,1.3261,133.1,0.941,30.64,33.03,6.2842
2015-05-01,0.7813,1.1194,0.752,1.5137,3.0145,1.2191,6.2018,6.6692,7.7509,63.63,120.21,1080.22,3.56,15.565,7.6248,8.3931,12.065,1.3293,133.1,0.934,30.7,33.2,6.2842
2015-05-04,0.7839,1.1145,0.753,1.5118,3.072,1.2108,6.2085,6.6987,7.753,63.64,120.25,1081.19,3.56,15.512,7.5801,8.3677,12.0455,1.3329,133.1,0.9357,30.71,33.31,6.2842
2015-05-05,0.7941,1.1174,0.7563,1.5178,3.0585,1.2038,6.2058,6.6796,7.7518,63.31,119.87,1080.46,3.61,15.341,7.5859,8.3671,12.004,1.3329,132.9,0.9262,30.63,33.34,6.2842
2015-05-06,0.8005,1.1345,0.7513,1.5244,3.0485,1.2007,6.2001,6.5795,7.7518,63.57,119.42,1077.23,3.57,15.2945,7.4202,8.2188,11.9775,1.3243,133.3,0.915,30.6,33.25,6.2842
2015-05-07,0.7914,1.1283,0.7446,1.5223,3.039,1.2139,6.2063,6.6149,7.7539,64.08,119.74,1093.55,3.5925,15.3325,7.4559,8.268,12.0405,1.3331,133.3,0.9196,30.78,33.55,6.2842
2015-05-08,0.7914,1.1241,0.749,1.5455,2.9808,1.2086,6.2084,6.6381,7.7536,63.73,119.78,1087.28,3.595,15.121,7.4502,8.2106,11.9215,1.329,133.3,0.9274,30.68,33.54,6.2842
2015-05-11,0.7899,1.1142,0.735,1.5593,3.0385,1.2107,6.2086,6.6973,7.7535,63.96,120.05,1095.39,3.5985,15.2855,7.5605,8.295,12.082,1.3361,133.3,0.9344,30.79,33.71,6.2842
2015-05-12,0.7989,1.124,0.7377,1.5685,3.0223,1.1987,6.2086,6.6395,7.7528,64.19,119.8,1093.81,3.615,15.298,7.472,8.3022,12.043,1.3336,133.5,0.9266,30.73,33.7,6.2842
2015-05-13,0.8118,1.1372,0.7488,1.5748,3.0265,1.195,6.2043,6.5617,7.7517,63.88,119.09,1089.72,3.5965,15.2385,7.3597,8.2085,11.876,1.3239,133.5,0.9162,30.64,33.51,6.2842
2015-05-14,0.8082,1.1368,0.75,1.5766,2.991,1.1991,6.2013,6.566,7.7505,63.47,119.2,1089.46,3.58,15.116,7.3829,8.2531,11.822,1.3199,133.4,0.9146,30.55,33.5,6.2842
2015-05-15,0.8053,1.1428,0.7489,1.5772,2.9779,1.2009,6.2051,6.532,7.7505,63.36,119.36,1083.05,3.562,14.997,7.3113,8.2174,11.7645,1.3195,133.4,0.9174,30.42,33.48,6.2842
2015-05-18,0.8001,1.1354,0.7398,1.5679,3.012,1.215,6.2041,6.5725,7.752,63.66,119.82,1088.19,3.568,15.128,7.3808,8.22,11.852,1.3258,133.3,0.923,30.47,33.39,6.2842
2015-05-19,0.7918,1.1151,0.7354,1.5523,3.0175,1.2213,6.2064,6.6872,7.7519,63.8,120.58,1093.94,3.59,15.191,7.5117,8.3356,11.913,1.3348,133.5,0.9367,30.5,33.49,6.2842
2015-05-20,0.7877,1.1079,0.7295,1.5544,3.0308,1.2212,6.2036,6.7311,7.7521,63.75,121.28,1097.62,3.6125,15.19,7.587,8.36,11.8705,1.338,133.5,0.9395,30.54,33.61,6.2842
2015-05-21,0.7888,1.1126,0.732,1.5672,3.0431,1.2201,6.1958,6.7007,7.7534,63.51,121.06,1092.41,3.5941,15.258,7.547,8.3159,11.8395,1.3362,133.6,0.9346,30.43,33.4,6.2842
2015-05-22,0.7828,1.1033,0.7307,1.5484,3.0705,1.2288,6.1972,6.7574,7.7517,63.43,121.45,1093.46,3.582,15.2915,7.629,8.374,11.86,1.336,133.6,0.9428,30.43,33.48,6.2842
2015-05-25,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,0.7738,1.0876,0.7228,1.5398,3.1489,1.2428,6.2038,6.8525,7.7523,63.87,123.08,1106.06,3.626,15.331,7.7518,8.4722,12.079,1.3484,133.9,0.9503,30.65,33.73,6.2842
2015-05-27,0.7712,1.0888,0.7228,1.5324,3.1708,1.2483,6.2011,6.8478,7.7594,63.92,123.76,1107.84,3.635,15.357,7.7634,8.502,12.0775,1.3525,133.9,0.9508,30.66,33.78,6.2842
2015-05-28,0.7631,1.0914,0.715,1.5291,3.1755,1.2474,6.2002,6.8343,7.7535,63.83,124.18,1109.86,3.641,15.3765,7.8466,8.4941,12.1655,1.3531,133.9,0.9458,30.65,33.78,6.2842
2015-05-29,0.7659,1.0994,0.7111,1.5286,3.1855,1.2466,6.198,6.7851,7.7535,63.71,123.98,1111.99,3.664,15.3688,7.7845,8.5245,12.142,1.3478,133.9,0.9404,30.81,33.65,6.2842
2015-06-01,0.7613,1.0913,0.7098,1.5187,3.1655,1.2547,6.1985,6.8351,7.7567,63.59,124.64,1115.61,3.681,15.4685,7.9633,8.5884,12.253,1.3545,133.9,0.9467,30.87,33.69,6.2842
2015-06-02,0.7748,1.113,0.7154,1.5331,3.1391,1.2425,6.198,6.702,7.7566,63.72,124.19,1109.34,3.697,15.4345,7.8547,8.4618,12.229,1.3487,133.9,0.9343,30.82,33.74,6.2842
2015-06-03,0.7803,1.1285,0.7152,1.5351,3.1103,1.2437,6.1976,6.6104,7.753,63.99,124.06,1104.33,3.6835,15.4555,7.7207,8.2778,12.2625,1.3411,133.9,0.9336,30.76,33.62,6.2842
2015-06-04,0.7673,1.1271,0.7116,1.5367,3.1446,1.2477,6.2006,6.6184,7.7522,63.96,124.56,1112.56,3.695,15.5575,7.7435,8.2612,12.3625,1.3478,133.9,0.9342,30.9,33.74,6.2842
2015-06-05,0.7622,1.1108,0.7046,1.5267,3.1604,1.2488,6.2024,6.7153,7.7531,63.76,125.58,1121.18,3.717,15.6925,7.9611,8.4144,12.5715,1.3572,133.9,0.9436,31.05,33.86,6.2842
2015-06-08,0.765,1.1232,0.7097,1.528,3.1226,1.2435,6.2053,6.6404,7.7518,64.03,125.08,1121.95,3.766,15.6735,7.8678,8.347,12.54,1.357,133.9,0.9332,31.13,33.81,6.2842
2015-06-09,0.7685,1.1284,0.7137,1.5383,3.095,1.2316,6.2047,6.6116,7.7533,63.96,124.16,1119.38,3.747,15.553,7.7673,8.2885,12.43,1.3512,133.8,0.9295,31.09,33.73,6.2842
2015-06-10,0.7749,1.1307,0.7194,1.553,3.1013,1.2267,6.2055,6.5992,7.7524,63.81,122.72,1110.32,3.7224,15.461,7.7619,8.2592,12.3115,1.3414,133.8,0.9292,30.86,33.59,6.2842
2015-06-11,0.7726,1.1236,0.699,1.5493,3.1419,1.2314,6.2065,6.6379,7.7523,63.93,123.62,1113.24,3.745,15.399,7.8584,8.2353,12.337,1.3469,133.8,0.9364,30.94,33.69,6.2842
2015-06-12,0.7742,1.1278,0.6985,1.5587,3.1011,1.2306,6.2081,6.6147,7.753,64.02,123.23,1111.63,3.758,15.3975,7.7208,8.1623,12.405,1.343,134.0,0.926,30.93,33.67,6.2842
2015-06-15,0.7767,1.1266,0.7005,1.5572,3.0958,1.2321,6.208,6.6208,7.7523,64.03,123.38,1114.94,3.759,15.419,7.7691,8.1845,12.4025,1.3462,134.0,0.9351,30.91,33.68,6.2842
2015-06-16,0.7753,1.1238,0.6986,1.5637,3.1052,1.2328,6.2085,6.6372,7.7519,64.21,123.39,1118.08,3.749,15.423,7.7743,8.1973,12.3815,1.3436,134.0,0.9325,30.88,33.69,6.2842
2015-06-17,0.7667,1.1244,0.6913,1.5708,3.0946,1.2307,6.2086,6.6321,7.7525,64.14,124.25,1122.83,3.757,15.43,7.7211,8.1951,12.41,1.3478,134.0,0.9272,30.97,33.75,6.2842
2015-06-18,0.7831,1.1404,0.6942,1.5882,3.0405,1.2206,6.2075,6.5421,7.7526,63.62,122.87,1101.55,3.708,15.271,7.7561,8.1076,12.189,1.3316,134.2,0.9196,30.68,33.61,6.2842
