"Real Value Added by Industry"
"[Billions of 2012 chain dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: September 30, 2020"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004"
"74","    Educational services, health care, and social assistance",917.6,921.6,952.6,987.8,1011.5,1052.0,1093.1,1145.4
"75","        Educational services",142.4,140.7,147.2,152.6,156.6,157.5,165.0,174.9
"76","        Health care and social assistance",775.9,781.2,806.0,835.8,855.5,894.5,928.3,970.8
"77","            Ambulatory health care services",346.6,346.6,356.2,374.7,386.8,409.6,421.9,444.4
"78","            Hospitals",260.2,263.3,272.1,279.0,284.3,295.5,309.7,325.9
"79","            Nursing and residential care facilities",105.0,104.8,107.0,108.0,108.2,111.4,113.7,115.7
"80","            Social assistance",66.3,68.9,73.3,76.0,77.5,78.8,84.0,85.5
"81","    Arts, entertainment, recreation, accommodation, and food services",489.7,503.1,530.7,562.8,543.1,557.5,572.0,597.7
"82","        Arts, entertainment, and recreation",126.4,126.4,131.2,137.8,130.0,135.8,140.7,145.3
"83","            Performing arts, spectator sports, museums, and related activities",62.9,66.9,68.4,71.6,72.2,77.3,81.1,82.0
"84","            Amusements, gambling, and recreation industries",62.7,59.3,62.4,65.8,57.7,58.6,59.7,63.4
"85","        Accommodation and food services",363.5,377.0,399.9,425.5,413.8,422.3,431.9,453.0
"86","            Accommodation",108.7,111.0,117.5,126.6,115.7,117.8,119.0,127.7
"87","            Food services and drinking places",253.8,265.2,281.6,297.8,298.1,304.5,313.0,325.2
"88","    Other services, except government",402.3,419.0,421.7,431.5,388.8,399.4,388.2,393.3
"89","Government",1893.2,1915.2,1938.3,1977.6,1997.8,2033.4,2057.9,2076.5
"90","    Federal",622.2,620.6,616.8,623.8,615.6,627.6,640.0,651.3
"91","        General government",538.8,533.1,528.9,531.7,533.3,542.7,557.0,565.1
"92","            National defense",348.8,339.3,331.9,328.0,327.3,332.1,341.1,348.4
"93","            Nondefense",191.0,194.4,197.4,203.8,206.0,210.5,215.8,216.7
"94","        Government enterprises",86.3,90.2,90.5,94.8,85.0,87.7,85.6,89.1
"95","    State and local",1270.7,1294.8,1322.1,1354.5,1383.0,1406.6,1418.7,1425.6
"96","        General government",1169.7,1194.6,1214.4,1240.0,1269.6,1294.4,1302.8,1307.5
"97","        Government enterprises",103.6,103.0,110.2,117.1,116.1,114.8,118.6,121.0
"98","    Not allocated by industry1",-783.7,-711.9,-620.5,-516.4,-513.8,-461.9,-413.8,-386.2
"","    Addenda:","","","","","","","",""
"99","            Private goods-producing industries2",2461.8,2556.1,2678.7,2838.7,2760.1,2764.1,2866.6,3035.0
"100","            Private services-producing industries3",7426.9,7807.4,8221.9,8550.7,8709.6,8908.5,9143.5,9470.4
"101","            Information-communications-technology-producing industries 4",232.0,278.9,324.3,383.4,398.7,422.2,469.4,537.4
"Legend / Footnotes:"
"1. Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The value of the Not allocated by industry line reflects the difference between the first line and the sum of the most detailed lines, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"2. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"3. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"4. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
